1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 49000000394EDA21
Is Mission Active?  true
Mission Start:  Sat Jul 23 05:39:00 CAST 2022
Sample Rate:  Every 2 minute(s)
Number of Mission Samples:  3298
Total Samples:  78951
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Sun Jul 31 00:00:00 CAST 2022
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/23/22, 5:39:00 AM,C,22.5
7/23/22, 5:41:00 AM,C,23
7/23/22, 5:43:00 AM,C,23
7/23/22, 5:45:00 AM,C,23.5
7/23/22, 5:47:00 AM,C,23.5
7/23/22, 5:49:00 AM,C,23.5
7/23/22, 5:51:00 AM,C,23.5
7/23/22, 5:53:00 AM,C,23.5
7/23/22, 5:55:00 AM,C,23.5
7/23/22, 5:57:00 AM,C,23.5
7/23/22, 5:59:00 AM,C,23
7/23/22, 6:01:00 AM,C,22.5
7/23/22, 6:03:00 AM,C,22
7/23/22, 6:05:00 AM,C,22
7/23/22, 6:07:00 AM,C,21.5
7/23/22, 6:09:00 AM,C,21
7/23/22, 6:11:00 AM,C,20.5
7/23/22, 6:13:00 AM,C,20.5
7/23/22, 6:15:00 AM,C,20
7/23/22, 6:17:00 AM,C,19.5
7/23/22, 6:19:00 AM,C,19.5
7/23/22, 6:21:00 AM,C,19
7/23/22, 6:23:00 AM,C,18.5
7/23/22, 6:25:00 AM,C,18.5
7/23/22, 6:27:00 AM,C,18
7/23/22, 6:29:00 AM,C,18
7/23/22, 6:31:00 AM,C,17.5
7/23/22, 6:33:00 AM,C,17.5
7/23/22, 6:35:00 AM,C,17.5
7/23/22, 6:37:00 AM,C,17
7/23/22, 6:39:00 AM,C,17
7/23/22, 6:41:00 AM,C,17
7/23/22, 6:43:00 AM,C,16.5
7/23/22, 6:45:00 AM,C,16.5
7/23/22, 6:47:00 AM,C,16.5
7/23/22, 6:49:00 AM,C,16.5
7/23/22, 6:51:00 AM,C,16.5
7/23/22, 6:53:00 AM,C,16.5
7/23/22, 6:55:00 AM,C,16.5
7/23/22, 6:57:00 AM,C,16.5
7/23/22, 6:59:00 AM,C,16.5
7/23/22, 7:01:00 AM,C,16.5
7/23/22, 7:03:00 AM,C,16.5
