,date,time,unit,temperature,condition,species,quadrat,loggertype,datetime
1,7/23/22,5:45:00,C,25.5,B,SP,Q1,iButton,7/23/22 5:45
2,7/23/22,5:47:00,C,24.5,B,SP,Q1,iButton,7/23/22 5:47
3,7/23/22,5:49:00,C,24.5,B,SP,Q1,iButton,7/23/22 5:49
4,7/23/22,5:51:00,C,24,B,SP,Q1,iButton,7/23/22 5:51
5,7/23/22,5:53:00,C,23.5,B,SP,Q1,iButton,7/23/22 5:53
6,7/23/22,5:55:00,C,23.5,B,SP,Q1,iButton,7/23/22 5:55
7,7/23/22,5:57:00,C,23,B,SP,Q1,iButton,7/23/22 5:57
8,7/23/22,5:59:00,C,22,B,SP,Q1,iButton,7/23/22 5:59
9,7/23/22,6:01:00,C,21,B,SP,Q1,iButton,7/23/22 6:01
10,7/23/22,6:03:00,C,20.5,B,SP,Q1,iButton,7/23/22 6:03
11,7/23/22,6:05:00,C,20,B,SP,Q1,iButton,7/23/22 6:05
12,7/23/22,6:07:00,C,19.5,B,SP,Q1,iButton,7/23/22 6:07
13,7/23/22,6:09:00,C,19.5,B,SP,Q1,iButton,7/23/22 6:09
14,7/23/22,6:11:00,C,19,B,SP,Q1,iButton,7/23/22 6:11
15,7/23/22,6:13:00,C,18.5,B,SP,Q1,iButton,7/23/22 6:13
16,7/23/22,6:15:00,C,18.5,B,SP,Q1,iButton,7/23/22 6:15
17,7/23/22,6:17:00,C,18,B,SP,Q1,iButton,7/23/22 6:17
18,7/23/22,6:19:00,C,18,B,SP,Q1,iButton,7/23/22 6:19
19,7/23/22,6:21:00,C,17.5,B,SP,Q1,iButton,7/23/22 6:21
20,7/23/22,6:23:00,C,17.5,B,SP,Q1,iButton,7/23/22 6:23
21,7/23/22,6:25:00,C,17.5,B,SP,Q1,iButton,7/23/22 6:25
22,7/23/22,6:27:00,C,17,B,SP,Q1,iButton,7/23/22 6:27
23,7/23/22,6:29:00,C,17,B,SP,Q1,iButton,7/23/22 6:29
24,7/23/22,6:31:00,C,17,B,SP,Q1,iButton,7/23/22 6:31
25,7/23/22,6:33:00,C,17,B,SP,Q1,iButton,7/23/22 6:33
26,7/23/22,6:35:00,C,17,B,SP,Q1,iButton,7/23/22 6:35
27,7/23/22,6:37:00,C,17,B,SP,Q1,iButton,7/23/22 6:37
28,7/23/22,6:39:00,C,17,B,SP,Q1,iButton,7/23/22 6:39
29,7/23/22,6:41:00,C,17,B,SP,Q1,iButton,7/23/22 6:41
30,7/23/22,6:43:00,C,17,B,SP,Q1,iButton,7/23/22 6:43
31,7/23/22,6:45:00,C,17,B,SP,Q1,iButton,7/23/22 6:45
32,7/23/22,6:47:00,C,17,B,SP,Q1,iButton,7/23/22 6:47
33,7/23/22,6:49:00,C,17,B,SP,Q1,iButton,7/23/22 6:49
34,7/23/22,6:51:00,C,17,B,SP,Q1,iButton,7/23/22 6:51
35,7/23/22,6:53:00,C,17,B,SP,Q1,iButton,7/23/22 6:53
36,7/23/22,6:55:00,C,17,B,SP,Q1,iButton,7/23/22 6:55
37,7/23/22,6:57:00,C,17,B,SP,Q1,iButton,7/23/22 6:57
38,7/23/22,6:59:00,C,17,B,SP,Q1,iButton,7/23/22 6:59
39,7/23/22,7:01:00,C,17,B,SP,Q1,iButton,7/23/22 7:01
40,7/23/22,7:03:00,C,17,B,SP,Q1,iButton,7/23/22 7:03
41,7/23/22,7:05:00,C,17,B,SP,Q1,iButton,7/23/22 7:05
42,7/23/22,7:07:00,C,17,B,SP,Q1,iButton,7/23/22 7:07
43,7/23/22,7:09:00,C,17,B,SP,Q1,iButton,7/23/22 7:09
44,7/23/22,7:11:00,C,17,B,SP,Q1,iButton,7/23/22 7:11
45,7/23/22,7:13:00,C,17,B,SP,Q1,iButton,7/23/22 7:13
46,7/23/22,7:15:00,C,17,B,SP,Q1,iButton,7/23/22 7:15
47,7/23/22,7:17:00,C,17,B,SP,Q1,iButton,7/23/22 7:17
48,7/23/22,7:19:00,C,17,B,SP,Q1,iButton,7/23/22 7:19
49,7/23/22,7:21:00,C,17,B,SP,Q1,iButton,7/23/22 7:21
50,7/23/22,7:23:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:23
51,7/23/22,7:25:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:25
52,7/23/22,7:27:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:27
53,7/23/22,7:29:00,C,17,B,SP,Q1,iButton,7/23/22 7:29
54,7/23/22,7:31:00,C,17,B,SP,Q1,iButton,7/23/22 7:31
55,7/23/22,7:33:00,C,17,B,SP,Q1,iButton,7/23/22 7:33
56,7/23/22,7:35:00,C,17,B,SP,Q1,iButton,7/23/22 7:35
57,7/23/22,7:37:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:37
58,7/23/22,7:39:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:39
59,7/23/22,7:41:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:41
60,7/23/22,7:43:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:43
61,7/23/22,7:45:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:45
62,7/23/22,7:47:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:47
63,7/23/22,7:49:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:49
64,7/23/22,7:51:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:51
65,7/23/22,7:53:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:53
66,7/23/22,7:55:00,C,17.5,B,SP,Q1,iButton,7/23/22 7:55
67,7/23/22,7:57:00,C,18,B,SP,Q1,iButton,7/23/22 7:57
68,7/23/22,7:59:00,C,18,B,SP,Q1,iButton,7/23/22 7:59
69,7/23/22,8:01:00,C,18,B,SP,Q1,iButton,7/23/22 8:01
70,7/23/22,8:03:00,C,18,B,SP,Q1,iButton,7/23/22 8:03
71,7/23/22,8:05:00,C,18,B,SP,Q1,iButton,7/23/22 8:05
72,7/23/22,8:07:00,C,18,B,SP,Q1,iButton,7/23/22 8:07
73,7/23/22,8:09:00,C,18,B,SP,Q1,iButton,7/23/22 8:09
74,7/23/22,8:11:00,C,18,B,SP,Q1,iButton,7/23/22 8:11
75,7/23/22,8:13:00,C,18,B,SP,Q1,iButton,7/23/22 8:13
76,7/23/22,8:15:00,C,18,B,SP,Q1,iButton,7/23/22 8:15
77,7/23/22,8:17:00,C,18,B,SP,Q1,iButton,7/23/22 8:17
78,7/23/22,8:19:00,C,18,B,SP,Q1,iButton,7/23/22 8:19
79,7/23/22,8:21:00,C,18,B,SP,Q1,iButton,7/23/22 8:21
80,7/23/22,8:23:00,C,18,B,SP,Q1,iButton,7/23/22 8:23
81,7/23/22,8:25:00,C,18,B,SP,Q1,iButton,7/23/22 8:25
82,7/23/22,8:27:00,C,18,B,SP,Q1,iButton,7/23/22 8:27
83,7/23/22,8:29:00,C,18.5,B,SP,Q1,iButton,7/23/22 8:29
84,7/23/22,8:31:00,C,18.5,B,SP,Q1,iButton,7/23/22 8:31
85,7/23/22,8:33:00,C,18.5,B,SP,Q1,iButton,7/23/22 8:33
86,7/23/22,8:35:00,C,18.5,B,SP,Q1,iButton,7/23/22 8:35
87,7/23/22,8:37:00,C,18.5,B,SP,Q1,iButton,7/23/22 8:37
88,7/23/22,8:39:00,C,18.5,B,SP,Q1,iButton,7/23/22 8:39
89,7/23/22,8:41:00,C,18.5,B,SP,Q1,iButton,7/23/22 8:41
90,7/23/22,8:43:00,C,19,B,SP,Q1,iButton,7/23/22 8:43
91,7/23/22,8:45:00,C,19.5,B,SP,Q1,iButton,7/23/22 8:45
92,7/23/22,8:47:00,C,19.5,B,SP,Q1,iButton,7/23/22 8:47
93,7/23/22,8:49:00,C,19.5,B,SP,Q1,iButton,7/23/22 8:49
94,7/23/22,8:51:00,C,19.5,B,SP,Q1,iButton,7/23/22 8:51
95,7/23/22,8:53:00,C,20,B,SP,Q1,iButton,7/23/22 8:53
96,7/23/22,8:55:00,C,20,B,SP,Q1,iButton,7/23/22 8:55
97,7/23/22,8:57:00,C,20,B,SP,Q1,iButton,7/23/22 8:57
98,7/23/22,8:59:00,C,20,B,SP,Q1,iButton,7/23/22 8:59
99,7/23/22,9:01:00,C,20.5,B,SP,Q1,iButton,7/23/22 9:01
100,7/23/22,9:03:00,C,20.5,B,SP,Q1,iButton,7/23/22 9:03
101,7/23/22,9:05:00,C,20.5,B,SP,Q1,iButton,7/23/22 9:05
102,7/23/22,9:07:00,C,21,B,SP,Q1,iButton,7/23/22 9:07
103,7/23/22,9:09:00,C,22,B,SP,Q1,iButton,7/23/22 9:09
104,7/23/22,9:11:00,C,21.5,B,SP,Q1,iButton,7/23/22 9:11
105,7/23/22,9:13:00,C,21.5,B,SP,Q1,iButton,7/23/22 9:13
106,7/23/22,9:15:00,C,21.5,B,SP,Q1,iButton,7/23/22 9:15
107,7/23/22,9:17:00,C,21.5,B,SP,Q1,iButton,7/23/22 9:17
108,7/23/22,9:19:00,C,21.5,B,SP,Q1,iButton,7/23/22 9:19
109,7/23/22,9:21:00,C,22,B,SP,Q1,iButton,7/23/22 9:21
110,7/23/22,9:23:00,C,22,B,SP,Q1,iButton,7/23/22 9:23
111,7/23/22,9:25:00,C,22,B,SP,Q1,iButton,7/23/22 9:25
112,7/23/22,9:27:00,C,23,B,SP,Q1,iButton,7/23/22 9:27
113,7/23/22,9:29:00,C,22.5,B,SP,Q1,iButton,7/23/22 9:29
114,7/23/22,9:31:00,C,22.5,B,SP,Q1,iButton,7/23/22 9:31
115,7/23/22,9:33:00,C,22.5,B,SP,Q1,iButton,7/23/22 9:33
116,7/23/22,9:35:00,C,23.5,B,SP,Q1,iButton,7/23/22 9:35
117,7/23/22,9:37:00,C,23.5,B,SP,Q1,iButton,7/23/22 9:37
118,7/23/22,9:39:00,C,23.5,B,SP,Q1,iButton,7/23/22 9:39
119,7/23/22,9:41:00,C,24,B,SP,Q1,iButton,7/23/22 9:41
120,7/23/22,9:43:00,C,23.5,B,SP,Q1,iButton,7/23/22 9:43
121,7/23/22,9:45:00,C,25,B,SP,Q1,iButton,7/23/22 9:45
122,7/23/22,9:47:00,C,25.5,B,SP,Q1,iButton,7/23/22 9:47
123,7/23/22,9:49:00,C,25.5,B,SP,Q1,iButton,7/23/22 9:49
124,7/23/22,9:51:00,C,26.5,B,SP,Q1,iButton,7/23/22 9:51
125,7/23/22,9:53:00,C,26.5,B,SP,Q1,iButton,7/23/22 9:53
126,7/23/22,9:55:00,C,26,B,SP,Q1,iButton,7/23/22 9:55
127,7/23/22,9:57:00,C,26.5,B,SP,Q1,iButton,7/23/22 9:57
128,7/23/22,9:59:00,C,26,B,SP,Q1,iButton,7/23/22 9:59
129,7/23/22,10:01:00,C,26,B,SP,Q1,iButton,7/23/22 10:01
130,7/23/22,10:03:00,C,25.5,B,SP,Q1,iButton,7/23/22 10:03
131,7/23/22,10:05:00,C,26,B,SP,Q1,iButton,7/23/22 10:05
132,7/23/22,10:07:00,C,26,B,SP,Q1,iButton,7/23/22 10:07
133,7/23/22,10:09:00,C,26.5,B,SP,Q1,iButton,7/23/22 10:09
134,7/23/22,10:11:00,C,27,B,SP,Q1,iButton,7/23/22 10:11
135,7/23/22,10:13:00,C,27.5,B,SP,Q1,iButton,7/23/22 10:13
136,7/23/22,10:15:00,C,28,B,SP,Q1,iButton,7/23/22 10:15
137,7/23/22,10:17:00,C,28,B,SP,Q1,iButton,7/23/22 10:17
138,7/23/22,10:19:00,C,29,B,SP,Q1,iButton,7/23/22 10:19
139,7/23/22,10:21:00,C,30,B,SP,Q1,iButton,7/23/22 10:21
140,7/23/22,10:23:00,C,29.5,B,SP,Q1,iButton,7/23/22 10:23
141,7/23/22,10:25:00,C,28.5,B,SP,Q1,iButton,7/23/22 10:25
142,7/23/22,10:27:00,C,28,B,SP,Q1,iButton,7/23/22 10:27
143,7/23/22,10:29:00,C,29,B,SP,Q1,iButton,7/23/22 10:29
144,7/23/22,10:31:00,C,30,B,SP,Q1,iButton,7/23/22 10:31
145,7/23/22,10:33:00,C,31,B,SP,Q1,iButton,7/23/22 10:33
146,7/23/22,10:35:00,C,31.5,B,SP,Q1,iButton,7/23/22 10:35
147,7/23/22,10:37:00,C,32,B,SP,Q1,iButton,7/23/22 10:37
148,7/23/22,10:39:00,C,32.5,B,SP,Q1,iButton,7/23/22 10:39
149,7/23/22,10:41:00,C,33,B,SP,Q1,iButton,7/23/22 10:41
150,7/23/22,10:43:00,C,33.5,B,SP,Q1,iButton,7/23/22 10:43
151,7/23/22,10:45:00,C,34,B,SP,Q1,iButton,7/23/22 10:45
152,7/23/22,10:47:00,C,34,B,SP,Q1,iButton,7/23/22 10:47
153,7/23/22,10:49:00,C,33.5,B,SP,Q1,iButton,7/23/22 10:49
154,7/23/22,10:51:00,C,34,B,SP,Q1,iButton,7/23/22 10:51
155,7/23/22,10:53:00,C,34.5,B,SP,Q1,iButton,7/23/22 10:53
156,7/23/22,10:55:00,C,35,B,SP,Q1,iButton,7/23/22 10:55
157,7/23/22,10:57:00,C,35,B,SP,Q1,iButton,7/23/22 10:57
158,7/23/22,10:59:00,C,35,B,SP,Q1,iButton,7/23/22 10:59
159,7/23/22,11:01:00,C,35.5,B,SP,Q1,iButton,7/23/22 11:01
160,7/23/22,11:03:00,C,35.5,B,SP,Q1,iButton,7/23/22 11:03
161,7/23/22,11:05:00,C,36,B,SP,Q1,iButton,7/23/22 11:05
162,7/23/22,11:07:00,C,36.5,B,SP,Q1,iButton,7/23/22 11:07
163,7/23/22,11:09:00,C,37,B,SP,Q1,iButton,7/23/22 11:09
164,7/23/22,11:11:00,C,37,B,SP,Q1,iButton,7/23/22 11:11
165,7/23/22,11:13:00,C,37.5,B,SP,Q1,iButton,7/23/22 11:13
166,7/23/22,11:15:00,C,38,B,SP,Q1,iButton,7/23/22 11:15
167,7/23/22,11:17:00,C,38.5,B,SP,Q1,iButton,7/23/22 11:17
168,7/23/22,11:19:00,C,38.5,B,SP,Q1,iButton,7/23/22 11:19
169,7/23/22,11:21:00,C,38.5,B,SP,Q1,iButton,7/23/22 11:21
170,7/23/22,11:23:00,C,39,B,SP,Q1,iButton,7/23/22 11:23
171,7/23/22,11:25:00,C,39,B,SP,Q1,iButton,7/23/22 11:25
172,7/23/22,11:27:00,C,39,B,SP,Q1,iButton,7/23/22 11:27
173,7/23/22,11:29:00,C,39.5,B,SP,Q1,iButton,7/23/22 11:29
174,7/23/22,11:31:00,C,39.5,B,SP,Q1,iButton,7/23/22 11:31
175,7/23/22,11:33:00,C,39.5,B,SP,Q1,iButton,7/23/22 11:33
176,7/23/22,11:35:00,C,39.5,B,SP,Q1,iButton,7/23/22 11:35
177,7/23/22,11:37:00,C,39.5,B,SP,Q1,iButton,7/23/22 11:37
178,7/23/22,11:39:00,C,40,B,SP,Q1,iButton,7/23/22 11:39
179,7/23/22,11:41:00,C,40,B,SP,Q1,iButton,7/23/22 11:41
180,7/23/22,11:43:00,C,40,B,SP,Q1,iButton,7/23/22 11:43
181,7/23/22,11:45:00,C,40,B,SP,Q1,iButton,7/23/22 11:45
182,7/23/22,11:47:00,C,40.5,B,SP,Q1,iButton,7/23/22 11:47
183,7/23/22,11:49:00,C,41,B,SP,Q1,iButton,7/23/22 11:49
184,7/23/22,11:51:00,C,40.5,B,SP,Q1,iButton,7/23/22 11:51
185,7/23/22,11:53:00,C,40.5,B,SP,Q1,iButton,7/23/22 11:53
186,7/23/22,11:55:00,C,41,B,SP,Q1,iButton,7/23/22 11:55
187,7/23/22,11:57:00,C,41,B,SP,Q1,iButton,7/23/22 11:57
188,7/23/22,11:59:00,C,41.5,B,SP,Q1,iButton,7/23/22 11:59
189,7/23/22,12:01:00,C,41,B,SP,Q1,iButton,7/23/22 12:01
190,7/23/22,12:03:00,C,41,B,SP,Q1,iButton,7/23/22 12:03
191,7/23/22,12:05:00,C,41,B,SP,Q1,iButton,7/23/22 12:05
192,7/23/22,12:07:00,C,41,B,SP,Q1,iButton,7/23/22 12:07
