Date,Time,D0Q2
7/29/22 0:00,10:16:00,20
7/29/22 0:00,10:18:00,18.5
7/29/22 0:00,10:20:00,18
7/29/22 0:00,10:22:00,17.5
7/29/22 0:00,10:24:00,17.5
7/29/22 0:00,10:26:00,17.5
7/29/22 0:00,10:28:00,17.5
7/29/22 0:00,10:30:00,17.5
7/29/22 0:00,10:32:00,17.5
7/29/22 0:00,10:34:00,17.5
7/29/22 0:00,10:36:00,17
7/29/22 0:00,10:38:00,17
7/29/22 0:00,10:40:00,17
7/29/22 0:00,10:42:00,17
7/29/22 0:00,10:44:00,17
7/29/22 0:00,10:46:00,16.5
7/29/22 0:00,10:48:00,16.5
7/29/22 0:00,10:50:00,16.5
7/29/22 0:00,10:52:00,16.5
7/29/22 0:00,10:54:00,16.5
7/29/22 0:00,10:56:00,17
7/29/22 0:00,10:58:00,17.5
7/29/22 0:00,11:00:00,20
7/29/22 0:00,11:02:00,20.5
7/29/22 0:00,11:04:00,20
7/29/22 0:00,11:06:00,20
7/29/22 0:00,11:08:00,19.5
7/29/22 0:00,11:10:00,20.5
7/29/22 0:00,11:12:00,24.5
7/29/22 0:00,11:14:00,27
7/29/22 0:00,11:16:00,27.5
7/29/22 0:00,11:18:00,28
7/29/22 0:00,11:20:00,28.5
7/29/22 0:00,11:22:00,28.5
7/29/22 0:00,11:24:00,29
7/29/22 0:00,11:26:00,29.5
7/29/22 0:00,11:28:00,29.5
7/29/22 0:00,11:30:00,30
7/29/22 0:00,11:32:00,30.5
7/29/22 0:00,11:34:00,30.5
7/29/22 0:00,11:36:00,31
7/29/22 0:00,11:38:00,31
7/29/22 0:00,11:40:00,31.5
7/29/22 0:00,11:42:00,31.5
7/29/22 0:00,11:44:00,31.5
7/29/22 0:00,11:46:00,31.5
7/29/22 0:00,11:48:00,32
7/29/22 0:00,11:50:00,32
7/29/22 0:00,11:52:00,32.5
7/29/22 0:00,11:54:00,32.5
7/29/22 0:00,11:56:00,33
7/29/22 0:00,11:58:00,33
7/29/22 0:00,12:00:00,33.5
7/29/22 0:00,12:02:00,33.5
7/29/22 0:00,12:04:00,34
7/29/22 0:00,12:06:00,34
7/29/22 0:00,12:08:00,34
7/29/22 0:00,12:10:00,34.5
7/29/22 0:00,12:12:00,34.5
7/29/22 0:00,12:14:00,35
7/29/22 0:00,12:16:00,35
7/29/22 0:00,12:18:00,35
7/29/22 0:00,12:20:00,35.5
7/29/22 0:00,12:22:00,35.5
7/29/22 0:00,12:24:00,35.5
7/29/22 0:00,12:26:00,36
7/29/22 0:00,12:28:00,36
7/29/22 0:00,12:30:00,36
7/29/22 0:00,12:32:00,36
7/29/22 0:00,12:34:00,36.5
7/29/22 0:00,12:36:00,36.5
7/29/22 0:00,12:38:00,36.5
7/29/22 0:00,12:40:00,37
7/29/22 0:00,12:42:00,37
7/29/22 0:00,12:44:00,37
7/29/22 0:00,12:46:00,37
7/29/22 0:00,12:48:00,37.5
7/29/22 0:00,12:50:00,37.5
7/29/22 0:00,12:52:00,37.5
7/29/22 0:00,12:54:00,37.5
7/29/22 0:00,12:56:00,37.5
7/29/22 0:00,12:58:00,37.5
7/29/22 0:00,1:00:00,38
7/29/22 0:00,1:02:00,38
7/29/22 0:00,1:04:00,38
7/29/22 0:00,1:06:00,38
7/29/22 0:00,1:08:00,38
7/29/22 0:00,1:10:00,38
7/29/22 0:00,1:12:00,38
7/29/22 0:00,1:14:00,38.5
7/29/22 0:00,1:16:00,38.5
7/29/22 0:00,1:18:00,38.5
7/29/22 0:00,1:20:00,38.5
7/29/22 0:00,1:22:00,38.5
7/29/22 0:00,1:24:00,38.5
7/29/22 0:00,1:26:00,38.5
7/29/22 0:00,1:28:00,38.5
7/29/22 0:00,1:30:00,38.5
7/29/22 0:00,1:32:00,39
7/29/22 0:00,1:34:00,39
7/29/22 0:00,1:36:00,39
7/29/22 0:00,1:38:00,39
7/29/22 0:00,1:40:00,39
7/29/22 0:00,1:42:00,39
7/29/22 0:00,1:44:00,39
7/29/22 0:00,1:46:00,39
7/29/22 0:00,1:48:00,39
7/29/22 0:00,1:50:00,39
7/29/22 0:00,1:52:00,39
7/29/22 0:00,1:54:00,39
7/29/22 0:00,1:56:00,39
7/29/22 0:00,1:58:00,39
7/29/22 0:00,2:00:00,39
7/29/22 0:00,2:02:00,39
