Device Name,D2 - 2605751,,,,
Device Model,Kestrel DROP 2,,,,
Serial Number,2605751,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C,
7/27/22 0:00,17.6,42.7,15.3,4.8,point
7/27/22 0:01,17.6,42.7,15.3,4.7,point
7/27/22 0:02,17.6,42.7,15.4,4.8,point
7/27/22 0:03,17.6,42.6,15.4,4.8,point
7/27/22 0:04,17.6,42.6,15.4,4.8,point
7/27/22 0:05,17.6,42.6,15.3,4.7,point
7/27/22 0:06,17.6,42.6,15.3,4.8,point
7/27/22 0:07,17.6,42.6,15.3,4.7,point
7/27/22 0:08,17.6,42.6,15.3,4.7,point
7/27/22 0:09,17.6,42.6,15.3,4.7,point
7/27/22 0:10,17.6,42.6,15.3,4.7,point
7/27/22 0:11,17.6,42.6,15.3,4.7,point
7/27/22 0:12,17.5,42.5,15.3,4.7,point
7/27/22 0:13,17.5,42.5,15.3,4.7,point
7/27/22 0:14,17.6,42.5,15.4,4.7,point
7/27/22 0:15,17.6,42.5,15.3,4.7,point
7/27/22 0:16,17.5,42.5,15.3,4.6,point
7/27/22 0:17,17.5,42.5,15.3,4.7,point
7/27/22 0:18,17.5,42.5,15.3,4.6,point
7/27/22 0:19,17.5,42.5,15.3,4.6,point
7/27/22 0:20,17.5,42.4,15.3,4.6,point
7/27/22 0:21,17.5,42.4,15.3,4.6,point
7/27/22 0:22,17.6,42.4,15.3,4.7,point
7/27/22 0:23,17.5,42.4,15.3,4.7,point
7/27/22 0:24,17.5,42.4,15.3,4.6,point
7/27/22 0:25,17.5,42.4,15.3,4.7,point
7/27/22 0:26,17.5,42.4,15.3,4.6,point
7/27/22 0:27,17.5,42.4,15.3,4.6,point
7/27/22 0:28,17.5,42.4,15.3,4.6,point
7/27/22 0:29,17.5,42.4,15.3,4.6,point
7/27/22 0:30,17.5,42.4,15.3,4.6,point
7/27/22 0:31,17.5,42.4,15.3,4.6,point
7/27/22 0:32,17.5,42.4,15.3,4.6,point
7/27/22 0:33,17.5,42.4,15.3,4.5,point
7/27/22 0:34,17.5,42.4,15.3,4.6,point
7/27/22 0:35,17.5,42.4,15.3,4.6,point
7/27/22 0:36,17.4,42.4,15.3,4.5,point
7/27/22 0:37,17.4,42.4,15.3,4.5,point
7/27/22 0:38,17.4,42.4,15.3,4.5,point
7/27/22 0:39,17.4,42.4,15.3,4.5,point
7/27/22 0:40,17.4,42.4,15.3,4.5,point
7/27/22 0:41,17.4,42.4,15.3,4.5,point
7/27/22 0:42,17.5,42.4,15.3,4.6,point
7/27/22 0:43,17.5,42.4,15.3,4.5,point
7/27/22 0:44,17.5,42.3,15.3,4.6,point
7/27/22 0:45,17.4,42.3,15.3,4.5,point
7/27/22 0:46,17.5,42.3,15.3,4.5,point
7/27/22 0:47,17.5,42.3,15.3,4.5,point
7/27/22 0:48,17.4,42.3,15.2,4.5,point
7/27/22 0:49,17.5,42.3,15.3,4.5,point
7/27/22 0:50,17.4,42.3,15.3,4.5,point
7/27/22 0:51,17.4,42.3,15.2,4.4,point
7/27/22 0:52,17.4,42.3,15.3,4.5,point
7/27/22 0:53,17.5,42.3,15.3,4.5,point
7/27/22 0:54,17.4,42.2,15.2,4.4,point
7/27/22 0:55,17.4,42.2,15.2,4.4,point
7/27/22 0:56,17.4,42.2,15.2,4.4,point
7/27/22 0:57,17.3,42.2,15.2,4.4,point
7/27/22 0:58,17.3,42.2,15.2,4.4,point
7/27/22 0:59,17.3,42.2,15.2,4.4,point
7/27/22 1:00,17.3,42.2,15.2,4.4,point
7/27/22 1:01,17.3,42.2,15.2,4.4,point
7/27/22 1:02,17.3,42.1,15.2,4.4,point
7/27/22 1:03,17.3,42.1,15.2,4.4,point
7/27/22 1:04,17.3,42.1,15.1,4.3,point
7/27/22 1:05,17.3,42.1,15.2,4.3,point
7/27/22 1:06,17.3,42.1,15.2,4.3,point
7/27/22 1:07,17.3,42.1,15.2,4.3,point
7/27/22 1:08,17.3,42.1,15.2,4.3,point
7/27/22 1:09,17.3,42.1,15.1,4.3,point
7/27/22 1:10,17.3,42.1,15.2,4.3,point
7/27/22 1:11,17.4,42.1,15.2,4.4,point
7/27/22 1:12,17.3,42.1,15.1,4.3,point
7/27/22 1:13,17.3,42.1,15.1,4.3,point
7/27/22 1:14,17.3,42.1,15.1,4.3,point
7/27/22 1:15,17.3,42.1,15.1,4.3,point
7/27/22 1:16,17.2,42.1,15.1,4.2,point
7/27/22 1:17,17.3,42.1,15.1,4.3,point
7/27/22 1:18,17.3,42.1,15.1,4.3,point
7/27/22 1:19,17.3,42.1,15.1,4.3,point
7/27/22 1:20,17.3,42.1,15.1,4.3,point
7/27/22 1:21,17.2,42.1,15.1,4.2,point
7/27/22 1:22,17.2,42,15,4.2,point
7/27/22 1:23,17.2,42,15.1,4.2,point
7/27/22 1:24,17.2,42,15,4.2,point
7/27/22 1:25,17.3,42,15.1,4.3,point
7/27/22 1:26,17.2,42,15.1,4.2,point
7/27/22 1:27,17.2,42,15.1,4.2,point
7/27/22 1:28,17.3,42,15.1,4.3,point
7/27/22 1:29,17.2,42,15,4.2,point
7/27/22 1:30,17.2,42,15.1,4.2,point
7/27/22 1:31,17.2,42,15.1,4.2,point
7/27/22 1:32,17.1,42,15,4.1,point
7/27/22 1:33,17.2,42,15,4.1,point
