"Device Name","D2 - 2635451"
"Device Model","Kestrel DROP 2"
"Serial Number","2635451"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2000-01-01 12:10:00 AM","24.9","51.1","24.2","14.1","point"
"2000-01-01 12:20:00 AM","24.6","52.2","24.0","14.1","point"
"2000-01-01 12:30:00 AM","24.8","50.0","24.2","13.7","point"
"2000-01-01 12:40:00 AM","24.6","49.4","23.9","13.3","point"
"2000-01-01 12:50:00 AM","24.6","48.9","23.9","13.2","point"
"2000-01-01 01:00:00 AM","24.6","49.1","23.8","13.2","point"
"2000-01-01 01:10:00 AM","24.4","48.3","23.5","12.7","point"
"2000-01-01 01:20:00 AM","24.2","49.9","23.5","13.1","point"
"2000-01-01 01:30:00 AM","24.6","50.3","23.9","13.6","point"
"2000-01-01 01:40:00 AM","24.3","51.3","23.6","13.6","point"
"2000-01-01 01:50:00 AM","24.1","52.8","23.6","13.9","point"
"2000-01-01 02:00:00 AM","24.2","53.8","23.7","14.2","point"
"2000-01-01 02:10:00 AM","24.2","53.4","23.8","14.2","point"
"2000-01-01 02:20:00 AM","24.2","53.2","23.7","14.1","point"
"2000-01-01 02:30:00 AM","24.3","53.0","23.7","14.1","point"
"2000-01-01 02:40:00 AM","24.3","52.8","23.7","14.0","point"
"2000-01-01 02:50:00 AM","24.3","52.2","23.7","13.9","point"
"2000-01-01 03:00:00 AM","24.3","51.8","23.7","13.7","point"
"2000-01-01 03:10:00 AM","24.3","51.2","23.6","13.6","point"
"2000-01-01 03:20:00 AM","24.2","50.9","23.6","13.4","point"
"2000-01-01 03:30:00 AM","24.2","50.5","23.5","13.3","point"
"2000-01-01 03:40:00 AM","24.1","50.2","23.5","13.1","point"
"2000-01-01 03:50:00 AM","24.1","49.9","23.4","13.0","point"
"2000-01-01 04:00:00 AM","24.1","49.7","23.3","12.9","point"
"2000-01-01 04:10:00 AM","24.0","49.6","23.3","12.8","point"
"2000-01-01 04:20:00 AM","24.0","50.1","23.3","13.0","point"
"2000-01-01 04:30:00 AM","24.0","51.5","23.3","13.4","point"
"2000-01-01 04:40:00 AM","24.0","51.4","23.3","13.4","point"
"2000-01-01 04:50:00 AM","24.0","51.2","23.3","13.3","point"
"2000-01-01 05:00:00 AM","24.0","50.9","23.4","13.2","point"
"2000-01-01 05:10:00 AM","20.5","47.5","19.4","8.9","point"
"2022-07-09 10:40:00 AM","20.3","48.3","19.3","9.1","point"
"2022-07-09 10:50:00 AM","20.4","48.2","19.4","9.1","point"
"2022-07-09 11:00:00 AM","20.5","48.7","19.4","9.3","point"
"2022-07-09 11:10:00 AM","20.8","47.8","19.9","9.3","point"
"2022-07-09 11:20:00 AM","20.9","47.2","20.1","9.3","point"
"2022-07-09 11:30:00 AM","21.0","47.2","20.1","9.3","point"
"2022-07-09 11:40:00 AM","21.0","46.9","20.2","9.3","point"
"2022-07-09 11:50:00 AM","21.0","46.7","20.2","9.2","point"
"2022-07-09 12:00:00 PM","21.8","55.3","21.5","12.4","point"
"2022-07-09 12:10:00 PM","24.3","42.1","23.1","10.6","point"
"2022-07-09 12:20:00 PM","25.2","39.1","23.8","10.3","point"
"2022-07-09 12:30:00 PM","25.4","37.8","23.9","10.0","point"
"2022-07-09 12:40:00 PM","26.6","43.5","25.9","13.2","point"
"2022-07-09 12:50:00 PM","28.7","34.3","27.6","11.4","point"
"2022-07-09 01:00:00 PM","26.6","37.6","25.4","11.0","point"
"2022-07-09 01:10:00 PM","25.3","36.5","23.7","9.4","point"
"2022-07-09 01:20:00 PM","25.0","41.9","23.8","11.1","point"
"2022-07-09 01:30:00 PM","25.0","36.8","23.6","9.3","point"
"2022-07-09 01:40:00 PM","25.0","42.2","23.8","11.3","point"
"2022-07-09 01:50:00 PM","24.7","35.6","23.1","8.5","point"
"2022-07-09 02:00:00 PM","24.2","41.9","23.0","10.4","point"
"2022-07-09 02:10:00 PM","24.3","42.7","23.1","10.8","point"
"2022-07-09 02:20:00 PM","24.3","40.7","23.0","10.1","point"
"2022-07-09 02:30:00 PM","24.4","41.0","23.1","10.3","point"
"2022-07-09 02:40:00 PM","25.1","40.5","23.9","10.7","point"
"2022-07-09 02:50:00 PM","25.2","49.7","24.5","13.9","point"
"2022-07-09 03:00:00 PM","24.3","48.1","23.4","12.6","point"
"2022-07-09 03:10:00 PM","23.3","40.4","22.2","9.1","point"
"2022-07-09 03:20:00 PM","23.3","37.8","22.1","8.2","point"
"2022-07-09 03:30:00 PM","23.5","41.2","22.4","9.5","point"
"2022-07-09 03:40:00 PM","23.6","44.4","22.7","10.8","point"
"2022-07-09 03:50:00 PM","23.7","42.8","22.7","10.4","point"
"2022-07-09 04:00:00 PM","23.6","39.7","22.3","9.1","point"
"2022-07-09 04:10:00 PM","23.5","39.9","22.3","9.1","point"
"2022-07-09 04:20:00 PM","23.6","38.7","22.3","8.7","point"
"2022-07-09 04:30:00 PM","23.6","39.8","22.3","9.1","point"
"2022-07-09 04:40:00 PM","23.4","70.7","23.8","17.8","point"
"2022-07-09 04:50:00 PM","23.2","68.9","23.6","17.2","point"
"2022-07-09 05:00:00 PM","23.0","69.1","23.4","17.1","point"
"2022-07-09 05:10:00 PM","22.8","67.6","23.0","16.5","point"
"2022-07-09 05:20:00 PM","22.6","66.1","22.8","15.9","point"
"2022-07-09 05:30:00 PM","22.4","64.9","22.6","15.5","point"
"2022-07-09 05:40:00 PM","22.3","63.7","22.4","15.1","point"
"2022-07-09 05:50:00 PM","22.1","63.0","22.2","14.8","point"
"2022-07-09 06:00:00 PM","22.0","62.3","22.1","14.5","point"
"2022-07-09 06:10:00 PM","22.0","61.6","22.0","14.2","point"
"2022-07-09 06:20:00 PM","21.9","61.1","21.8","14.0","point"
"2022-07-09 06:30:00 PM","21.8","60.7","21.7","13.9","point"
"2022-07-09 06:40:00 PM","21.7","60.7","21.7","13.8","point"
"2022-07-09 06:50:00 PM","21.7","56.0","21.4","12.5","point"
"2022-07-09 07:00:00 PM","21.5","56.4","21.2","12.4","point"
"2022-07-09 07:10:00 PM","21.5","57.8","21.3","12.8","point"
"2022-07-09 07:20:00 PM","16.0","51.0","14.4","5.9","point"
"2022-07-09 07:30:00 PM","14.4","63.4","13.5","7.6","point"
"2022-07-09 07:40:00 PM","14.4","67.9","13.7","8.6","point"
"2022-07-09 07:50:00 PM","14.5","68.5","13.8","8.8","point"
"2022-07-09 08:00:00 PM","14.9","67.8","14.1","9.0","point"
"2022-07-09 08:10:00 PM","14.8","67.5","13.9","8.8","point"
"2022-07-09 08:20:00 PM","14.6","67.9","13.9","8.8","point"
"2022-07-09 08:30:00 PM","14.9","67.7","14.1","8.9","point"
"2022-07-09 08:40:00 PM","14.6","68.6","13.9","8.9","point"
"2022-07-09 08:50:00 PM","14.4","71.7","13.8","9.3","point"
"2022-07-09 09:00:00 PM","14.0","73.4","13.6","9.3","point"
"2022-07-09 09:10:00 PM","14.0","73.3","13.5","9.3","point"
"2022-07-09 09:20:00 PM","13.9","73.6","13.4","9.2","point"
"2022-07-09 09:30:00 PM","13.7","74.2","13.3","9.2","point"
"2022-07-09 09:40:00 PM","13.6","74.4","13.1","9.1","point"
"2022-07-09 09:50:00 PM","13.9","73.5","13.4","9.2","point"
"2022-07-09 10:00:00 PM","14.0","71.8","13.4","9.0","point"
"2022-07-09 10:10:00 PM","14.1","70.7","13.5","8.9","point"
"2022-07-09 10:20:00 PM","14.2","71.0","13.6","9.0","point"
"2022-07-09 10:30:00 PM","14.0","70.4","13.3","8.7","point"
"2022-07-09 10:40:00 PM","13.9","71.1","13.2","8.7","point"
"2022-07-09 10:50:00 PM","13.9","69.7","13.2","8.4","point"
"2022-07-09 11:00:00 PM","13.8","68.9","13.1","8.2","point"
"2022-07-09 11:10:00 PM","13.6","69.7","13.0","8.2","point"
"2022-07-09 11:20:00 PM","13.6","70.9","12.9","8.4","point"
"2022-07-09 11:30:00 PM","13.4","71.6","12.9","8.4","point"
"2022-07-09 11:40:00 PM","13.2","71.8","12.6","8.2","point"
"2022-07-09 11:50:00 PM","12.9","72.7","12.3","8.1","point"
"2022-07-10 12:00:00 AM","12.6","73.8","12.1","8.0","point"
"2022-07-10 12:10:00 AM","12.5","74.4","12.0","8.1","point"
"2022-07-10 12:20:00 AM","12.4","78.3","12.1","8.7","point"
"2022-07-10 12:30:00 AM","12.2","84.6","12.1","9.7","point"
"2022-07-10 12:40:00 AM","12.1","86.2","12.1","9.9","point"
"2022-07-10 12:50:00 AM","12.0","86.7","12.1","9.9","point"
"2022-07-10 01:00:00 AM","11.8","87.9","11.9","9.9","point"
"2022-07-10 01:10:00 AM","11.9","88.1","11.9","10.0","point"
"2022-07-10 01:20:00 AM","11.8","87.7","11.9","9.8","point"
"2022-07-10 01:30:00 AM","11.7","85.9","11.7","9.4","point"
"2022-07-10 01:40:00 AM","11.7","85.6","11.7","9.4","point"
"2022-07-10 01:50:00 AM","11.3","86.1","11.3","9.1","point"
"2022-07-10 02:00:00 AM","11.0","87.1","11.1","8.9","point"
"2022-07-10 02:10:00 AM","10.9","88.4","11.0","9.1","point"
"2022-07-10 02:20:00 AM","10.7","89.0","10.8","9.0","point"
"2022-07-10 02:30:00 AM","10.9","90.3","11.1","9.4","point"
"2022-07-10 02:40:00 AM","10.8","91.0","10.9","9.3","point"
"2022-07-10 02:50:00 AM","10.5","90.8","10.7","9.1","point"
"2022-07-10 03:00:00 AM","10.3","91.1","10.5","8.9","point"
"2022-07-10 03:10:00 AM","10.2","91.2","10.3","8.8","point"
"2022-07-10 03:20:00 AM","10.1","90.8","10.3","8.7","point"
"2022-07-10 03:30:00 AM","9.9","90.0","10.0","8.3","point"
"2022-07-10 03:40:00 AM","10.1","89.9","10.1","8.5","point"
"2022-07-10 03:50:00 AM","9.8","89.4","9.9","8.1","point"
"2022-07-10 04:00:00 AM","9.7","89.7","9.7","8.1","point"
"2022-07-10 04:10:00 AM","9.2","90.1","9.2","7.7","point"
"2022-07-10 04:20:00 AM","9.2","90.8","9.2","7.7","point"
"2022-07-10 04:30:00 AM","9.0","91.0","9.1","7.6","point"
"2022-07-10 04:40:00 AM","8.8","91.5","8.9","7.5","point"
"2022-07-10 04:50:00 AM","9.1","91.4","9.1","7.8","point"
"2022-07-10 05:00:00 AM","8.5","90.9","8.5","7.1","point"
"2022-07-10 05:10:00 AM","8.1","91.7","8.2","6.9","point"
"2022-07-10 05:20:00 AM","8.1","92.5","8.2","6.9","point"
"2022-07-10 05:30:00 AM","7.8","93.0","8.0","6.8","point"
"2022-07-10 05:40:00 AM","7.8","93.2","7.9","6.7","point"
"2022-07-10 05:50:00 AM","7.8","93.5","7.9","6.8","point"
"2022-07-10 06:00:00 AM","7.7","94.1","7.8","6.8","point"
"2022-07-10 06:10:00 AM","7.8","94.1","8.0","6.9","point"
"2022-07-10 06:20:00 AM","7.6","93.3","7.8","6.6","point"
"2022-07-10 06:30:00 AM","7.5","92.7","7.7","6.4","point"
"2022-07-10 06:40:00 AM","7.1","93.1","7.1","6.0","point"
"2022-07-10 06:50:00 AM","6.8","93.2","6.9","5.8","point"
"2022-07-10 07:00:00 AM","6.9","93.9","7.0","5.9","point"
"2022-07-10 07:10:00 AM","6.9","93.8","7.0","5.9","point"
"2022-07-10 07:20:00 AM","6.7","93.8","6.8","5.8","point"
"2022-07-10 07:30:00 AM","6.8","93.4","6.9","5.8","point"
"2022-07-10 07:40:00 AM","6.2","93.8","6.3","5.3","point"
"2022-07-10 07:50:00 AM","6.4","95.5","6.6","5.7","point"
"2022-07-10 08:00:00 AM","6.8","96.1","6.9","6.2","point"
"2022-07-10 08:10:00 AM","7.1","95.4","7.3","6.4","point"
"2022-07-10 08:20:00 AM","7.5","94.2","7.7","6.6","point"
"2022-07-10 08:30:00 AM","7.8","92.8","8.0","6.7","point"
"2022-07-10 08:40:00 AM","8.8","92.1","8.9","7.6","point"
"2022-07-10 08:50:00 AM","9.4","88.9","9.5","7.7","point"
"2022-07-10 09:00:00 AM","10.1","85.5","10.0","7.8","point"
"2022-07-10 09:10:00 AM","10.7","81.8","10.6","7.8","point"
"2022-07-10 09:20:00 AM","11.2","78.5","10.9","7.6","point"
"2022-07-10 09:30:00 AM","11.5","75.6","11.2","7.3","point"
"2022-07-10 09:40:00 AM","12.2","73.1","11.8","7.5","point"
"2022-07-10 09:50:00 AM","12.7","70.5","12.1","7.4","point"
"2022-07-10 10:00:00 AM","13.5","67.5","12.7","7.6","point"
"2022-07-10 10:10:00 AM","14.4","63.9","13.5","7.7","point"
"2022-07-10 10:20:00 AM","17.4","58.9","16.0","9.3","point"
"2022-07-10 10:30:00 AM","25.2","35.0","23.7","8.7","point"
"2022-07-10 10:40:00 AM","26.3","27.4","24.3","6.1","point"
"2022-07-10 10:50:00 AM","26.4","26.2","24.2","5.5","point"
"2022-07-10 11:00:00 AM","23.2","25.1","21.3","2.1","point"
"2022-07-10 11:10:00 AM","24.2","25.5","22.1","3.2","point"
"2022-07-10 11:20:00 AM","20.4","24.0","18.2","-0.8","point"
"2022-07-10 11:30:00 AM","23.2","24.0","21.2","1.6","point"
"2022-07-10 11:40:00 AM","24.7","23.4","22.4","2.4","point"
"2022-07-10 11:50:00 AM","25.0","22.8","22.7","2.4","point"
"2022-07-10 12:00:00 PM","22.1","23.0","20.2","0.0","point"
"2022-07-10 12:10:00 PM","25.4","22.7","23.0","2.6","point"
"2022-07-10 12:20:00 PM","25.6","20.0","23.1","1.0","point"
"2022-07-10 12:30:00 PM","21.8","19.0","19.7","-2.8","point"
"2022-07-10 12:40:00 PM","24.2","18.9","21.7","-0.9","point"
"2022-07-10 12:50:00 PM","25.0","19.0","22.5","-0.2","point"
"2022-07-10 01:00:00 PM","26.0","18.1","23.4","-0.1","point"
"2022-07-10 01:10:00 PM","24.9","16.6","22.2","-2.1","point"
"2022-07-10 01:20:00 PM","25.7","16.7","22.9","-1.4","point"
"2022-07-10 01:30:00 PM","26.4","15.7","23.6","-1.7","point"
"2022-07-10 01:40:00 PM","26.3","23.8","24.0","4.0","point"
"2022-07-10 01:50:00 PM","22.9","32.1","21.3","5.3","point"
"2022-07-10 02:00:00 PM","21.8","34.1","20.5","5.3","point"
"2022-07-10 02:10:00 PM","22.6","37.4","21.5","7.4","point"
"2022-07-10 02:20:00 PM","22.2","34.1","20.9","5.7","point"
"2022-07-10 02:30:00 PM","23.4","36.6","22.0","7.7","point"
"2022-07-10 02:40:00 PM","24.9","30.3","23.0","6.3","point"
"2022-07-10 02:50:00 PM","23.6","30.7","22.0","5.3","point"
"2022-07-10 03:00:00 PM","26.2","29.0","24.3","6.8","point"
"2022-07-10 03:10:00 PM","24.8","28.0","22.7","5.0","point"
"2022-07-10 03:20:00 PM","23.8","30.0","22.1","5.2","point"
"2022-07-10 03:30:00 PM","23.3","30.6","21.6","5.0","point"
"2022-07-10 03:40:00 PM","22.5","29.9","20.9","4.0","point"
"2022-07-10 03:50:00 PM","22.4","29.3","20.8","3.6","point"
"2022-07-10 04:00:00 PM","22.3","28.6","20.8","3.2","point"
"2022-07-10 04:10:00 PM","24.4","27.6","22.4","4.6","point"
"2022-07-10 04:20:00 PM","30.7","23.8","28.7","7.7","point"
"2022-07-10 04:30:00 PM","32.9","19.4","30.8","6.6","point"
"2022-07-10 04:40:00 PM","28.2","22.0","25.9","4.5","point"
"2022-07-10 04:50:00 PM","24.6","25.3","22.5","3.5","point"
"2022-07-10 05:00:00 PM","23.6","27.5","21.8","3.8","point"
"2022-07-10 05:10:00 PM","23.4","31.8","21.9","5.7","point"
"2022-07-10 05:20:00 PM","23.1","30.8","21.6","5.0","point"
"2022-07-10 05:30:00 PM","23.1","31.9","21.6","5.5","point"
"2022-07-10 05:40:00 PM","23.1","31.5","21.6","5.3","point"
"2022-07-10 05:50:00 PM","23.1","31.8","21.5","5.4","point"
"2022-07-10 06:00:00 PM","23.0","31.3","21.5","5.1","point"
"2022-07-10 06:10:00 PM","23.0","31.3","21.4","5.1","point"
"2022-07-10 06:20:00 PM","23.0","31.1","21.4","5.0","point"
"2022-07-10 06:30:00 PM","23.0","31.5","21.4","5.2","point"
"2022-07-10 06:40:00 PM","22.8","32.6","21.3","5.5","point"
"2022-07-10 06:50:00 PM","22.5","35.2","21.2","6.4","point"
"2022-07-10 07:00:00 PM","22.1","37.7","21.0","7.0","point"
"2022-07-10 07:10:00 PM","21.8","39.9","20.8","7.5","point"
"2022-07-10 07:20:00 PM","21.6","43.2","20.9","8.5","point"
"2022-07-10 07:30:00 PM","21.3","44.3","20.4","8.7","point"
"2022-07-10 07:40:00 PM","21.2","45.5","20.4","9.0","point"
"2022-07-10 07:50:00 PM","21.2","45.5","20.5","9.0","point"
"2022-07-10 08:00:00 PM","20.9","45.6","19.9","8.7","point"
"2022-07-10 08:10:00 PM","20.6","46.4","19.5","8.7","point"
"2022-07-10 08:20:00 PM","20.2","46.9","19.1","8.6","point"
"2022-07-10 08:30:00 PM","20.0","47.7","18.8","8.6","point"
"2022-07-10 08:40:00 PM","20.1","61.8","19.4","12.5","point"
"2022-07-10 08:50:00 PM","19.8","44.4","18.2","7.3","point"
"2022-07-10 09:00:00 PM","19.7","43.7","18.2","7.0","point"
"2022-07-10 09:10:00 PM","19.7","43.3","18.1","6.9","point"
