Device Name,D2 - 2635451,,,,
Device Model,Kestrel DROP 2,,,,
Serial Number,2635451 3cm,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type
YYYY-MM-DD HH:MM:SS,Â°C,%,Â°C,Â°C,
7/15/22 20:00,26.5,21.2,24.1,2.6,point
7/15/22 21:00,25.2,19.2,22.7,0.1,point
7/15/22 22:00,19.6,20.2,16.9,-3.8,point
7/15/22 23:00,18.6,22.4,15.5,-3.3,point
7/16/22 0:00,16.6,24.3,13.7,-3.9,point
7/16/22 1:00,16.4,25.4,13.7,-3.5,point
7/16/22 2:00,14.8,26.5,12.3,-4.3,point
7/16/22 3:00,16.1,25.6,13.3,-3.6,point
7/16/22 4:00,16.9,24.9,14,-3.3,point
7/16/22 5:00,16.9,25.1,14,-3.2,point
7/16/22 6:00,17.7,24.3,14.7,-2.9,point
7/16/22 7:00,17.6,24.5,14.7,-2.9,point
7/16/22 8:00,17.4,25.1,14.5,-2.7,point
7/16/22 9:00,19.3,23.1,16.6,-2.2,point
7/16/22 10:00,29.7,16.2,26.9,1.4,point
7/16/22 11:00,30.3,13.1,27.3,-1.1,point
7/16/22 12:00,32.5,11.9,29.4,-0.6,point
7/16/22 13:00,34.1,11.1,30.8,-0.4,point
7/16/22 14:00,35,10.4,31.7,-0.6,point
7/16/22 15:00,37.5,9.8,34.4,0.5,point
7/16/22 16:00,37.6,9.8,34.5,0.6,point
7/16/22 17:00,34.1,10.2,30.8,-1.6,point
7/16/22 18:00,29.7,13.2,26.6,-1.4,point
7/16/22 19:00,21.4,19.1,19.3,-3.1,point
7/16/22 20:00,20.8,20.5,18.5,-2.7,point
7/16/22 21:00,19.6,21.9,17,-2.7,point
7/16/22 22:00,19,23.7,16,-2.2,point
7/16/22 23:00,18.8,24.3,15.7,-2,point
7/17/22 0:00,18.1,24.8,15.1,-2.3,point
7/17/22 1:00,17.1,26.2,14.2,-2.4,point
7/17/22 2:00,16.7,26.5,13.9,-2.6,point
7/17/22 3:00,16.3,26.7,13.6,-2.9,point
7/17/22 4:00,17.7,25.4,14.7,-2.3,point
7/17/22 5:00,17.3,27.5,14.4,-1.6,point
7/17/22 6:00,17.3,28,14.5,-1.4,point
7/17/22 7:00,17.6,28.6,14.9,-0.8,point
7/17/22 8:00,17.8,30.1,15.1,0.1,point
7/17/22 9:00,19.7,27.4,17.3,0.4,point
7/17/22 10:00,26.6,19,24,1.1,point
7/17/22 11:00,29.8,15.9,26.9,1.1,point
7/17/22 12:00,32.6,13.6,29.6,1.3,point
7/17/22 13:00,35.2,11.8,32.1,1.2,point
7/17/22 15:00,40.4,9.9,37.6,2.9,point
7/17/22 17:00,35.2,11.2,32,0.5,point
7/17/22 20:00,20.8,23.1,18.7,-1,point
7/17/22 22:00,18.4,30.1,15.7,0.6,point
7/17/22 14:00,39.8,10.3,36.9,2.9,point
7/17/22 21:00,19.3,25.2,16.6,-1.1,point
7/18/22 0:00,16.9,32.2,14.4,0.2,point
7/18/22 3:00,15.3,32.7,13.1,-1,point
7/18/22 5:00,16.4,30.6,13.9,-0.9,point
7/18/22 7:00,13.4,97.4,13.8,13,point
7/18/22 10:00,25.8,93.5,29.4,24.6,point
7/18/22 12:00,34.4,14.1,31.5,3.2,point
7/18/22 14:00,38.3,11.7,35.7,3.6,point
7/18/22 17:00,32.8,13.8,29.8,1.6,point
7/18/22 19:00,22,29.3,20.6,3.3,point
7/18/22 21:00,19,33.6,16.7,2.7,point
7/18/22 4:00,16.3,30.7,13.8,-1,point
7/18/22 11:00,31.1,17.4,28.3,3.5,point
7/18/22 18:00,27,21.4,24.6,3.1,point
7/19/22 0:00,15.3,38.1,13.2,1.1,point
7/19/22 2:00,13.7,39.4,11.8,0.1,point
7/19/22 4:00,12.7,42.6,11,0.3,point
7/19/22 7:00,25,36.9,23.5,9.2,point
7/19/22 9:00,28.9,29.5,27.1,9.3,point
7/19/22 11:00,25.2,31,23.3,6.8,point
7/19/22 14:00,21.7,39.5,20.8,7.3,point
7/19/22 16:00,21.7,39.2,20.7,7.2,point
7/19/22 18:00,21.5,35.3,20.5,5.6,point
7/19/22 21:00,21.1,37.2,20,5.9,point
7/19/22 23:00,20.8,38.8,19.6,6.3,point
7/19/22 1:00,14.2,39.7,12.4,0.7,point
7/19/22 8:00,28.6,29.9,26.8,9.3,point
7/19/22 15:00,21.7,40,20.7,7.5,point
7/19/22 22:00,21,38.4,19.7,6.3,point
7/20/22 1:00,20.3,39.3,18.9,6,point
7/20/22 4:00,19.7,40.8,18,6,point
7/20/22 6:00,19.2,41.2,17.2,5.7,point
7/20/22 8:00,18.5,39.8,16.2,4.6,point
7/20/22 11:00,18.3,37,15.9,3.4,point
7/20/22 13:00,19.1,39.8,17,5.1,point
7/20/22 15:00,19.1,41.1,17.2,5.6,point
7/20/22 18:00,19.4,39.8,17.4,5.4,point
7/20/22 20:00,19.1,38.5,17,4.7,point
7/20/22 22:00,18.8,36.5,16.6,3.7,point
7/20/22 5:00,19.5,41.4,17.8,6.1,point
7/20/22 12:00,18.5,38.1,16.1,4,point
7/20/22 19:00,19.3,39.3,17.3,5.1,point
7/21/22 1:00,18.6,35.4,16.2,3,point
7/21/22 3:00,18.4,34.8,15.8,2.6,point
7/21/22 5:00,18.2,34.8,15.6,2.4,point
7/21/22 8:00,18,35.5,15.5,2.5,point
7/21/22 10:00,18,35.1,15.4,2.3,point
7/21/22 12:00,18.5,34.4,16,2.5,point
7/21/22 15:00,19.9,32.7,18,3,point
7/21/22 17:00,20.2,32.7,18.4,3.3,point
7/21/22 19:00,21.2,31.7,19.7,3.7,point
7/21/22 22:00,21.4,30.5,20,3.4,point
7/21/22 2:00,18.5,35.1,15.9,2.8,point
7/21/22 9:00,18,35.2,15.4,2.3,point
7/22/22 0:00,21.3,30.8,19.8,3.4,point
7/22/22 2:00,21.2,31,19.8,3.4,point
7/22/22 5:00,21,30.6,19.5,3.1,point
7/22/22 7:00,20.9,31.1,19.2,3.2,point
7/22/22 9:00,27.7,22.5,25.3,4.4,point
7/22/22 12:00,25.9,24.6,23.7,4.2,point
7/22/22 14:00,25.6,23.9,23.4,3.5,point
7/22/22 16:00,26.8,21.7,24.3,3.1,point
7/22/22 19:00,26.7,23,24.4,3.9,point
7/22/22 21:00,25.4,23.6,23.2,3.2,point
7/22/22 23:00,24.8,23.3,22.6,2.4,point
7/23/22 1:00,24.6,24.6,22.5,3.1,point
7/23/22 2:00,24.6,25.1,22.4,3.3,point
7/23/22 3:00,24.5,24.7,22.3,3,point
7/23/22 4:00,24.4,25.2,22.2,3.2,point
7/23/22 5:00,24.1,23.7,21.9,2,point
7/23/22 6:00,18.1,25.3,15,-2.1,point
7/23/22 7:00,17.3,31.7,14.6,0.3,point
7/23/22 8:00,19.7,32.3,17.6,2.7,point
7/23/22 9:00,22.6,28.1,20.9,3.2,point
7/23/22 10:00,23.3,27.1,21.4,3.3,point
7/23/22 11:00,23.6,26.5,21.7,3.3,point
7/23/22 12:00,24.1,26.5,22.1,3.7,point
7/23/22 13:00,24.4,26.3,22.3,3.8,point
7/23/22 14:00,24.7,25.9,22.5,3.8,point
7/23/22 15:00,25,26.2,22.8,4.2,point
7/23/22 16:00,25.2,26.1,23,4.4,point
7/23/22 17:00,25.4,25.3,23.2,4.1,point
7/23/22 18:00,25.4,24.1,23.1,3.4,point
7/23/22 19:00,25.3,22.4,22.9,2.3,point
7/23/22 20:00,25,21.8,22.6,1.7,point
7/23/22 21:00,24.9,21.4,22.4,1.3,point
7/23/22 22:00,24.7,21,22.3,0.9,point
7/23/22 23:00,24.5,21,22.2,0.7,point
7/24/22 0:00,24.3,21.3,21.9,0.8,point
7/24/22 1:00,24.1,21.8,21.9,1,point
7/24/22 2:00,23.9,21.7,21.6,0.7,point
7/24/22 3:00,23.6,21.7,21.4,0.5,point
7/24/22 4:00,23.4,21.8,21.2,0.3,point
7/24/22 5:00,23.1,21.9,21.1,0.2,point
7/24/22 6:00,22.9,22,20.9,0.1,point
7/24/22 7:00,22.7,22.1,20.7,0,point
7/24/22 8:00,22.5,22,20.6,-0.3,point
7/24/22 9:00,21.7,25.2,20.1,0.9,point
7/24/22 10:00,23.6,22.7,21.4,1,point
7/24/22 11:00,32.3,16.1,29.6,3.4,point
7/24/22 12:00,28.6,100,38.3,28.6,point
7/24/22 13:00,32.8,99.2,55.7,32.6,point
7/24/22 14:00,35.8,97.8,71.5,35.5,point
7/24/22 15:00,36.7,23.1,36.6,12.3,point
7/24/22 16:00,34.5,23,33.5,10.4,point
7/24/22 17:00,30.3,25.6,28.5,8.5,point
7/24/22 18:00,24.8,30,23,6.1,point
7/24/22 19:00,20.7,39.1,19.5,6.3,point
7/24/22 20:00,17.9,49.4,16,7.2,point
7/24/22 21:00,16.3,55.9,14.8,7.4,point
7/24/22 22:00,14.8,61,13.8,7.4,point
