"Device Name","D2 - 2635457"
"Device Model","Kestrel DROP 2"
"Serial Number","2635457"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2000-01-01 12:10:00 AM","25.0","49.8","24.3","13.8","point"
"2000-01-01 12:20:00 AM","24.5","52.3","24.0","14.1","point"
"2000-01-01 12:30:00 AM","24.4","52.7","23.9","14.2","point"
"2000-01-01 12:40:00 AM","24.4","52.7","23.9","14.1","point"
"2000-01-01 12:50:00 AM","24.5","52.1","23.9","14.0","point"
"2000-01-01 01:00:00 AM","24.9","49.8","24.2","13.7","point"
"2000-01-01 01:10:00 AM","25.0","48.9","24.2","13.5","point"
"2000-01-01 01:20:00 AM","25.0","48.0","24.1","13.2","point"
"2000-01-01 01:30:00 AM","24.7","48.0","23.9","13.0","point"
"2000-01-01 01:40:00 AM","24.4","49.0","23.7","13.0","point"
"2000-01-01 01:50:00 AM","24.3","50.5","23.6","13.4","point"
"2000-01-01 02:00:00 AM","24.5","52.7","24.0","14.2","point"
"2000-01-01 02:10:00 AM","24.7","50.8","24.0","13.8","point"
"2000-01-01 02:20:00 AM","24.4","52.5","23.9","14.1","point"
"2000-01-01 02:30:00 AM","24.4","52.7","23.9","14.1","point"
"2000-01-01 02:40:00 AM","24.4","52.7","23.9","14.2","point"
"2000-01-01 02:50:00 AM","24.4","52.5","23.9","14.1","point"
"2000-01-01 03:00:00 AM","24.5","52.4","23.9","14.1","point"
"2000-01-01 03:10:00 AM","24.5","52.0","23.9","14.0","point"
"2000-01-01 03:20:00 AM","24.5","51.5","23.8","13.8","point"
"2000-01-01 03:30:00 AM","24.5","50.9","23.8","13.7","point"
"2000-01-01 03:40:00 AM","24.4","50.5","23.8","13.5","point"
"2000-01-01 03:50:00 AM","24.4","50.2","23.7","13.3","point"
"2000-01-01 04:00:00 AM","24.3","49.7","23.6","13.2","point"
"2000-01-01 04:10:00 AM","24.3","49.5","23.5","13.1","point"
"2000-01-01 04:20:00 AM","24.2","49.2","23.5","12.9","point"
"2000-01-01 04:30:00 AM","24.2","49.2","23.5","12.9","point"
"2000-01-01 04:40:00 AM","24.2","49.0","23.4","12.8","point"
"2000-01-01 04:50:00 AM","24.1","50.3","23.5","13.2","point"
"2000-01-01 05:00:00 AM","24.1","51.3","23.5","13.5","point"
"2000-01-01 05:10:00 AM","24.1","50.9","23.5","13.3","point"
"2000-01-01 05:20:00 AM","24.1","50.6","23.5","13.3","point"
"2000-01-01 05:30:00 AM","24.2","49.5","23.5","13.0","point"
"2022-07-09 10:30:00 AM","19.6","50.5","18.4","9.1","point"
"2022-07-09 10:40:00 AM","19.4","51.8","18.1","9.3","point"
"2022-07-09 10:50:00 AM","20.5","51.0","19.6","10.0","point"
"2022-07-09 11:00:00 AM","21.1","49.0","20.3","9.9","point"
"2022-07-09 11:10:00 AM","21.2","47.8","20.6","9.7","point"
"2022-07-09 11:20:00 AM","21.0","47.7","20.2","9.4","point"
"2022-07-09 11:30:00 AM","20.9","47.7","20.2","9.4","point"
"2022-07-09 11:40:00 AM","20.9","47.0","20.1","9.2","point"
"2022-07-09 11:50:00 AM","20.9","46.4","20.1","9.0","point"
"2022-07-09 12:00:00 PM","23.0","48.3","22.3","11.5","point"
"2022-07-09 12:10:00 PM","26.5","39.8","25.4","11.8","point"
"2022-07-09 12:20:00 PM","26.6","43.2","25.9","13.1","point"
"2022-07-09 12:30:00 PM","26.4","45.4","25.8","13.7","point"
"2022-07-09 12:40:00 PM","28.0","42.0","27.5","13.9","point"
"2022-07-09 12:50:00 PM","31.1","38.9","31.4","15.5","point"
"2022-07-09 01:00:00 PM","27.7","39.5","26.7","12.7","point"
"2022-07-09 01:10:00 PM","25.3","44.7","24.4","12.4","point"
"2022-07-09 01:20:00 PM","25.3","57.8","25.2","16.4","point"
"2022-07-09 01:30:00 PM","25.5","49.4","25.0","14.1","point"
"2022-07-09 01:40:00 PM","25.2","52.3","24.8","14.8","point"
"2022-07-09 01:50:00 PM","24.3","50.2","23.6","13.3","point"
"2022-07-09 02:00:00 PM","23.0","55.1","22.8","13.5","point"
"2022-07-09 02:10:00 PM","23.6","56.1","23.3","14.4","point"
"2022-07-09 02:20:00 PM","24.0","54.8","23.6","14.4","point"
"2022-07-09 02:30:00 PM","24.0","50.1","23.4","13.0","point"
"2022-07-09 02:40:00 PM","24.5","52.9","23.9","14.2","point"
"2022-07-09 02:50:00 PM","24.4","53.0","23.9","14.2","point"
"2022-07-09 03:00:00 PM","23.7","52.3","23.1","13.3","point"
"2022-07-09 03:10:00 PM","23.3","47.9","22.5","11.6","point"
"2022-07-09 03:20:00 PM","23.4","46.9","22.7","11.4","point"
"2022-07-09 03:30:00 PM","23.7","47.7","23.0","11.9","point"
"2022-07-09 03:40:00 PM","23.8","44.3","22.9","10.9","point"
"2022-07-09 03:50:00 PM","23.8","44.2","22.8","10.9","point"
"2022-07-09 04:00:00 PM","23.7","45.5","22.9","11.3","point"
"2022-07-09 04:10:00 PM","23.3","45.5","22.4","10.9","point"
"2022-07-09 04:20:00 PM","23.2","44.5","22.3","10.4","point"
"2022-07-09 04:30:00 PM","23.2","45.2","22.4","10.7","point"
"2022-07-09 04:40:00 PM","23.2","45.4","22.4","10.7","point"
"2022-07-09 04:50:00 PM","22.5","46.4","21.8","10.4","point"
"2022-07-09 05:00:00 PM","22.1","47.7","21.5","10.5","point"
"2022-07-09 05:10:00 PM","21.8","48.6","21.3","10.5","point"
"2022-07-09 05:20:00 PM","21.6","49.0","21.1","10.5","point"
"2022-07-09 05:30:00 PM","21.5","49.3","21.1","10.5","point"
"2022-07-09 05:40:00 PM","21.4","49.5","20.9","10.4","point"
"2022-07-09 05:50:00 PM","21.3","49.7","20.8","10.4","point"
"2022-07-09 06:00:00 PM","21.3","49.8","20.6","10.4","point"
"2022-07-09 06:10:00 PM","21.2","49.9","20.6","10.4","point"
"2022-07-09 06:20:00 PM","21.1","50.0","20.5","10.3","point"
"2022-07-09 06:30:00 PM","21.1","50.1","20.4","10.3","point"
"2022-07-09 06:40:00 PM","21.0","50.0","20.4","10.2","point"
"2022-07-09 06:50:00 PM","20.9","52.4","20.1","10.8","point"
