"Device Name","D2 - 2635457"
"Device Model","Kestrel DROP 2"
"Serial Number","2635457"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2022-07-31 01:16:00 am","7.7","99.5","7.9","7.6","point"
"2022-07-31 01:17:00 am","7.7","99.5","7.9","7.6","point"
"2022-07-31 01:18:00 am","7.6","99.5","7.9","7.6","point"
"2022-07-31 01:19:00 am","7.6","99.5","7.8","7.5","point"
"2022-07-31 01:20:00 am","7.5","99.5","7.7","7.4","point"
"2022-07-31 01:21:00 am","7.6","99.5","7.8","7.5","point"
"2022-07-31 01:22:00 am","7.5","99.5","7.8","7.4","point"
"2022-07-31 01:23:00 am","7.6","99.5","7.8","7.5","point"
"2022-07-31 01:24:00 am","7.6","99.5","7.8","7.5","point"
"2022-07-31 01:25:00 am","7.4","99.5","7.7","7.4","point"
"2022-07-31 01:26:00 am","7.5","99.5","7.8","7.4","point"
"2022-07-31 01:27:00 am","7.4","99.4","7.7","7.3","point"
"2022-07-31 01:28:00 am","7.5","99.5","7.7","7.4","point"
"2022-07-31 01:29:00 am","7.4","99.5","7.6","7.3","point"
"2022-07-31 01:30:00 am","7.5","99.5","7.7","7.4","point"
"2022-07-31 01:31:00 am","7.5","99.5","7.7","7.4","point"
"2022-07-31 01:32:00 am","7.4","99.5","7.7","7.3","point"
"2022-07-31 01:33:00 am","7.4","99.5","7.6","7.3","point"
"2022-07-31 01:34:00 am","7.4","99.5","7.6","7.3","point"
"2022-07-31 01:35:00 am","7.4","99.5","7.6","7.3","point"
"2022-07-31 01:36:00 am","7.3","99.5","7.6","7.3","point"
"2022-07-31 01:37:00 am","7.3","99.5","7.6","7.3","point"
"2022-07-31 01:38:00 am","7.3","99.5","7.6","7.3","point"
"2022-07-31 01:39:00 am","7.3","99.5","7.6","7.2","point"
"2022-07-31 01:40:00 am","7.3","99.5","7.5","7.2","point"
"2022-07-31 01:41:00 am","7.3","99.5","7.5","7.2","point"
"2022-07-31 01:42:00 am","7.3","99.5","7.6","7.2","point"
"2022-07-31 01:43:00 am","7.3","99.5","7.5","7.2","point"
"2022-07-31 01:44:00 am","7.2","99.5","7.5","7.1","point"
"2022-07-31 01:45:00 am","7.1","99.5","7.4","7.1","point"
"2022-07-31 01:46:00 am","7.2","99.5","7.4","7.1","point"
"2022-07-31 01:47:00 am","7.2","99.5","7.4","7.1","point"
"2022-07-31 01:48:00 am","7.2","99.5","7.4","7.1","point"
"2022-07-31 01:49:00 am","7.2","99.5","7.4","7.1","point"
"2022-07-31 01:50:00 am","7.1","99.5","7.4","7.1","point"
"2022-07-31 01:51:00 am","7.1","99.5","7.3","7.0","point"
"2022-07-31 01:52:00 am","7.2","99.5","7.4","7.1","point"
"2022-07-31 01:53:00 am","7.0","99.5","7.3","6.9","point"
"2022-07-31 01:54:00 am","7.1","99.5","7.3","7.0","point"
"2022-07-31 01:55:00 am","7.0","99.5","7.3","6.9","point"
"2022-07-31 01:56:00 am","7.1","99.5","7.3","7.0","point"
"2022-07-31 01:57:00 am","7.0","99.5","7.2","6.9","point"
"2022-07-31 01:58:00 am","7.1","99.5","7.3","7.0","point"
"2022-07-31 01:59:00 am","7.1","99.5","7.3","7.0","point"
"2022-07-31 02:00:00 am","7.0","99.5","7.3","7.0","point"
"2022-07-31 02:01:00 am","6.9","99.5","7.2","6.9","point"
"2022-07-31 02:02:00 am","6.9","99.5","7.2","6.8","point"
"2022-07-31 02:03:00 am","6.9","99.5","7.1","6.8","point"
"2022-07-31 02:04:00 am","6.9","99.5","7.1","6.8","point"
"2022-07-31 02:05:00 am","6.9","99.5","7.1","6.8","point"
"2022-07-31 02:06:00 am","6.9","99.5","7.1","6.8","point"
"2022-07-31 02:07:00 am","6.9","99.5","7.2","6.8","point"
"2022-07-31 02:08:00 am","6.9","99.5","7.1","6.8","point"
"2022-07-31 02:09:00 am","6.9","99.5","7.1","6.8","point"
"2022-07-31 02:10:00 am","6.9","99.6","7.1","6.8","point"
"2022-07-31 02:11:00 am","6.9","99.6","7.1","6.8","point"
"2022-07-31 02:12:00 am","6.8","99.6","7.1","6.8","point"
"2022-07-31 02:13:00 am","6.9","99.6","7.1","6.8","point"
"2022-07-31 02:14:00 am","6.8","99.6","7.0","6.7","point"
"2022-07-31 02:15:00 am","6.7","99.6","7.0","6.7","point"
"2022-07-31 02:16:00 am","6.7","99.5","7.0","6.7","point"
"2022-07-31 02:17:00 am","6.7","99.5","6.9","6.6","point"
"2022-07-31 02:18:00 am","6.7","99.5","6.9","6.6","point"
"2022-07-31 02:19:00 am","6.7","99.6","7.0","6.7","point"
"2022-07-31 02:20:00 am","6.7","99.6","7.0","6.7","point"
"2022-07-31 02:21:00 am","6.7","99.6","7.0","6.7","point"
