Device Name,D2 - 2635457,,,,
Device Model,Kestrel DROP 2,,,,
Serial Number,2635457 1cm,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type
YYYY-MM-DD HH:MM:SS,Â°C,%,Â°C,Â°C,
7/31/22 1:16,7.7,99.5,7.9,7.6,point
7/31/22 1:17,7.7,99.5,7.9,7.6,point
7/31/22 1:18,7.6,99.5,7.9,7.6,point
7/31/22 1:19,7.6,99.5,7.8,7.5,point
7/31/22 1:20,7.5,99.5,7.7,7.4,point
7/31/22 1:21,7.6,99.5,7.8,7.5,point
7/31/22 1:22,7.5,99.5,7.8,7.4,point
7/31/22 1:23,7.6,99.5,7.8,7.5,point
7/31/22 1:24,7.6,99.5,7.8,7.5,point
7/31/22 1:25,7.4,99.5,7.7,7.4,point
7/31/22 1:26,7.5,99.5,7.8,7.4,point
7/31/22 1:27,7.4,99.4,7.7,7.3,point
7/31/22 1:28,7.5,99.5,7.7,7.4,point
7/31/22 1:29,7.4,99.5,7.6,7.3,point
7/31/22 1:30,7.5,99.5,7.7,7.4,point
7/31/22 1:31,7.5,99.5,7.7,7.4,point
7/31/22 1:32,7.4,99.5,7.7,7.3,point
7/31/22 1:33,7.4,99.5,7.6,7.3,point
7/31/22 1:34,7.4,99.5,7.6,7.3,point
7/31/22 1:35,7.4,99.5,7.6,7.3,point
7/31/22 1:36,7.3,99.5,7.6,7.3,point
7/31/22 1:37,7.3,99.5,7.6,7.3,point
7/31/22 1:38,7.3,99.5,7.6,7.3,point
7/31/22 1:39,7.3,99.5,7.6,7.2,point
7/31/22 1:40,7.3,99.5,7.5,7.2,point
7/31/22 1:41,7.3,99.5,7.5,7.2,point
7/31/22 1:42,7.3,99.5,7.6,7.2,point
7/31/22 1:43,7.3,99.5,7.5,7.2,point
7/31/22 1:44,7.2,99.5,7.5,7.1,point
7/31/22 1:45,7.1,99.5,7.4,7.1,point
7/31/22 1:46,7.2,99.5,7.4,7.1,point
7/31/22 1:47,7.2,99.5,7.4,7.1,point
7/31/22 1:48,7.2,99.5,7.4,7.1,point
7/31/22 1:49,7.2,99.5,7.4,7.1,point
7/31/22 1:50,7.1,99.5,7.4,7.1,point
7/31/22 1:51,7.1,99.5,7.3,7,point
7/31/22 1:52,7.2,99.5,7.4,7.1,point
7/31/22 1:53,7,99.5,7.3,6.9,point
7/31/22 1:54,7.1,99.5,7.3,7,point
7/31/22 1:55,7,99.5,7.3,6.9,point
7/31/22 1:56,7.1,99.5,7.3,7,point
7/31/22 1:57,7,99.5,7.2,6.9,point
7/31/22 1:58,7.1,99.5,7.3,7,point
7/31/22 1:59,7.1,99.5,7.3,7,point
7/31/22 2:00,7,99.5,7.3,7,point
7/31/22 2:01,6.9,99.5,7.2,6.9,point
7/31/22 2:02,6.9,99.5,7.2,6.8,point
7/31/22 2:03,6.9,99.5,7.1,6.8,point
7/31/22 2:04,6.9,99.5,7.1,6.8,point
7/31/22 2:05,6.9,99.5,7.1,6.8,point
7/31/22 2:06,6.9,99.5,7.1,6.8,point
7/31/22 2:07,6.9,99.5,7.2,6.8,point
7/31/22 2:08,6.9,99.5,7.1,6.8,point
7/31/22 2:09,6.9,99.5,7.1,6.8,point
7/31/22 2:10,6.9,99.6,7.1,6.8,point
7/31/22 2:11,6.9,99.6,7.1,6.8,point
7/31/22 2:12,6.8,99.6,7.1,6.8,point
7/31/22 2:13,6.9,99.6,7.1,6.8,point
