"Device Name","D2 - 2645012"
"Device Model","Kestrel DROP 2"
"Serial Number","2645012"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2000-01-01 12:10:00 AM","24.0","52.3","23.4","13.6","point"
"2000-01-01 12:20:00 AM","23.8","53.0","23.2","13.6","point"
"2000-01-01 12:30:00 AM","23.7","52.2","23.1","13.3","point"
"2000-01-01 12:40:00 AM","23.7","52.6","23.2","13.4","point"
"2000-01-01 12:50:00 AM","23.7","52.6","23.2","13.4","point"
"2000-01-01 01:00:00 AM","23.7","52.4","23.2","13.4","point"
"2000-01-01 01:10:00 AM","23.7","52.3","23.2","13.4","point"
"2000-01-01 01:20:00 AM","23.8","52.8","23.2","13.6","point"
"2000-01-01 01:30:00 AM","23.8","53.0","23.3","13.7","point"
"2000-01-01 01:40:00 AM","23.9","53.2","23.3","13.8","point"
"2000-01-01 01:50:00 AM","23.9","53.7","23.4","14.0","point"
"2000-01-01 02:00:00 AM","24.0","54.2","23.6","14.2","point"
"2000-01-01 02:10:00 AM","24.1","53.8","23.6","14.1","point"
"2000-01-01 02:20:00 AM","24.1","53.3","23.6","14.0","point"
"2000-01-01 02:30:00 AM","24.7","50.5","24.1","13.7","point"
"2000-01-01 02:40:00 AM","24.7","49.9","23.9","13.5","point"
"2000-01-01 02:50:00 AM","24.6","49.5","23.8","13.3","point"
"2000-01-01 03:00:00 AM","24.8","48.3","23.9","13.1","point"
"2000-01-01 03:10:00 AM","24.2","48.9","23.5","12.8","point"
"2000-01-01 03:20:00 AM","23.8","49.9","23.1","12.8","point"
"2000-01-01 03:30:00 AM","23.7","51.1","23.1","13.0","point"
"2000-01-01 03:40:00 AM","23.8","51.7","23.2","13.3","point"
"2000-01-01 03:50:00 AM","23.9","52.3","23.3","13.5","point"
"2000-01-01 04:00:00 AM","23.9","53.4","23.3","13.8","point"
"2000-01-01 04:10:00 AM","24.0","53.4","23.5","13.9","point"
"2000-01-01 04:20:00 AM","24.0","53.3","23.5","14.0","point"
"2000-01-01 04:30:00 AM","24.1","53.0","23.5","13.9","point"
"2000-01-01 04:40:00 AM","24.1","52.8","23.6","13.9","point"
"2000-01-01 04:50:00 AM","24.1","52.4","23.6","13.8","point"
"2000-01-01 05:00:00 AM","24.1","51.9","23.5","13.6","point"
"2000-01-01 05:10:00 AM","24.0","51.4","23.4","13.4","point"
