Device Name,D2 AG - 2593300,,,,
Device Model,Kestrel D2 AG,,,,
Serial Number,2593300,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C,
7/23/22 13:02,24.3,25.2,22.1,3.1,point
7/23/22 13:03,24.3,25.2,22.1,3.1,point
7/23/22 13:04,24.3,25.1,22.1,3.1,point
7/23/22 13:05,24.3,25.1,22.1,3.1,point
7/23/22 13:06,24.3,25.1,22.2,3.1,point
7/23/22 13:07,24.3,25.1,22.2,3.1,point
7/23/22 13:08,24.3,25.1,22.2,3.1,point
7/23/22 13:09,24.3,25.1,22.2,3.1,point
7/23/22 13:10,24.3,25.1,22.2,3.1,point
7/23/22 13:11,24.3,25.1,22.2,3.1,point
7/23/22 13:12,24.3,25.1,22.2,3.1,point
7/23/22 13:13,24.3,25.1,22.2,3.1,point
7/23/22 13:14,24.4,25,22.2,3.1,point
7/23/22 13:15,24.4,25,22.2,3.1,point
7/23/22 13:16,24.4,25,22.2,3.1,point
7/23/22 13:17,24.3,25.1,22.2,3.1,point
7/23/22 13:18,24.4,25.1,22.2,3.1,point
7/23/22 13:19,24.3,25.1,22.2,3.1,point
7/23/22 13:20,24.4,25.1,22.2,3.2,point
7/23/22 13:21,24.4,25.1,22.2,3.2,point
7/23/22 13:22,24.4,25.1,22.2,3.2,point
7/23/22 13:23,24.4,25.1,22.2,3.1,point
7/23/22 13:24,24.4,25.1,22.2,3.1,point
7/23/22 13:25,24.4,25,22.2,3.1,point
7/23/22 13:26,24.4,25,22.2,3.1,point
7/23/22 13:27,24.4,25,22.3,3.1,point
7/23/22 13:28,24.4,25,22.3,3.1,point
7/23/22 13:29,24.4,25,22.3,3.2,point
7/23/22 13:30,24.4,25,22.3,3.1,point
7/23/22 13:31,24.4,25,22.3,3.2,point
7/23/22 13:32,24.4,25,22.3,3.2,point
7/23/22 13:33,24.4,25,22.3,3.1,point
7/23/22 13:34,24.4,25,22.3,3.2,point
7/23/22 13:35,24.4,25,22.3,3.2,point
7/23/22 13:36,24.5,25,22.3,3.2,point
7/23/22 13:37,24.4,25,22.3,3.1,point
7/23/22 13:38,24.5,25,22.3,3.1,point
7/23/22 13:39,24.5,25,22.3,3.2,point
7/23/22 13:40,24.5,24.9,22.3,3.1,point
7/23/22 13:41,24.5,24.9,22.3,3.1,point
7/23/22 13:42,24.5,25,22.3,3.2,point
7/23/22 13:43,24.5,25,22.3,3.2,point
7/23/22 13:44,24.5,25,22.3,3.2,point
7/23/22 13:45,24.5,24.9,22.4,3.2,point
7/23/22 13:46,24.5,24.9,22.4,3.1,point
7/23/22 13:47,24.5,24.9,22.4,3.1,point
7/23/22 13:48,24.5,24.9,22.3,3.1,point
7/23/22 13:49,24.5,24.9,22.3,3.1,point
7/23/22 13:50,24.5,24.8,22.4,3.1,point
7/23/22 13:51,24.5,24.8,22.4,3.1,point
7/23/22 13:52,24.5,24.8,22.4,3.1,point
7/23/22 13:53,24.5,24.8,22.4,3.1,point
7/23/22 13:54,24.5,24.8,22.4,3.1,point
7/23/22 13:55,24.5,24.8,22.4,3.1,point
