1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5B000000398E6B21
Is Mission Active?  true
Mission Start:  Sat Jul 23 05:36:00 CAST 2022
Sample Rate:  Every 2 minute(s)
Number of Mission Samples:  3331
Total Samples:  78753
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Sun Jul 31 00:00:00 CAST 2022
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/23/22, 5:36:00 AM,C,23
7/23/22, 5:38:00 AM,C,23.5
7/23/22, 5:40:00 AM,C,23.5
7/23/22, 5:42:00 AM,C,23.5
7/23/22, 5:44:00 AM,C,23.5
7/23/22, 5:46:00 AM,C,23.5
7/23/22, 5:48:00 AM,C,23.5
7/23/22, 5:50:00 AM,C,23.5
7/23/22, 5:52:00 AM,C,23.5
7/23/22, 5:54:00 AM,C,23
7/23/22, 5:56:00 AM,C,23
7/23/22, 5:58:00 AM,C,22.5
7/23/22, 6:00:00 AM,C,22
7/23/22, 6:02:00 AM,C,21
7/23/22, 6:04:00 AM,C,20.5
7/23/22, 6:06:00 AM,C,20
7/23/22, 6:08:00 AM,C,19.5
7/23/22, 6:10:00 AM,C,19
7/23/22, 6:12:00 AM,C,19
7/23/22, 6:14:00 AM,C,18.5
7/23/22, 6:16:00 AM,C,18.5
7/23/22, 6:18:00 AM,C,18
7/23/22, 6:20:00 AM,C,18
7/23/22, 6:22:00 AM,C,18
7/23/22, 6:24:00 AM,C,17.5
7/23/22, 6:26:00 AM,C,17.5
7/23/22, 6:28:00 AM,C,17.5
7/23/22, 6:30:00 AM,C,17.5
7/23/22, 6:32:00 AM,C,17
7/23/22, 6:34:00 AM,C,17
7/23/22, 6:36:00 AM,C,17
7/23/22, 6:38:00 AM,C,17
7/23/22, 6:40:00 AM,C,17
7/23/22, 6:42:00 AM,C,17
7/23/22, 6:44:00 AM,C,17
7/23/22, 6:46:00 AM,C,17
7/23/22, 6:48:00 AM,C,17
7/23/22, 6:50:00 AM,C,17
7/23/22, 6:52:00 AM,C,17
7/23/22, 6:54:00 AM,C,17
7/23/22, 6:56:00 AM,C,16.5
7/23/22, 6:58:00 AM,C,16.5
7/23/22, 7:00:00 AM,C,16.5
7/23/22, 7:02:00 AM,C,16.5
7/23/22, 7:04:00 AM,C,16.5
7/23/22, 7:06:00 AM,C,16.5
7/23/22, 7:08:00 AM,C,16.5
7/23/22, 7:10:00 AM,C,16.5
7/23/22, 7:12:00 AM,C,16.5
7/23/22, 7:14:00 AM,C,16.5
7/23/22, 7:16:00 AM,C,16.5
7/23/22, 7:18:00 AM,C,16.5
7/23/22, 7:20:00 AM,C,16.5
7/23/22, 7:22:00 AM,C,16.5
7/23/22, 7:24:00 AM,C,16.5
7/23/22, 7:26:00 AM,C,17
7/23/22, 7:28:00 AM,C,17.5
7/23/22, 7:30:00 AM,C,17
7/23/22, 7:32:00 AM,C,17
7/23/22, 7:34:00 AM,C,17
7/23/22, 7:36:00 AM,C,17
7/23/22, 7:38:00 AM,C,17
7/23/22, 7:40:00 AM,C,17
7/23/22, 7:42:00 AM,C,17
7/23/22, 7:44:00 AM,C,17
7/23/22, 7:46:00 AM,C,17
7/23/22, 7:48:00 AM,C,17
7/23/22, 7:50:00 AM,C,17
7/23/22, 7:52:00 AM,C,17
7/23/22, 7:54:00 AM,C,17
7/23/22, 7:56:00 AM,C,17
