date,time,unit,temperature,condition,species,Type,quadrat,loggertype,datetime
7/24/22,11:00:00,C,32.5,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:00
7/24/22,11:00:00,C,29.5,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:00
7/24/22,11:00:00,C,30,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:00
7/24/22,11:00:00,C,31,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:00
7/24/22,11:00:00,C,32.5,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:00
7/24/22,11:00:00,C,30,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:00
7/24/22,11:00:00,C,27.5,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:00
7/24/22,11:00:00,C,29.5,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:00
7/24/22,11:00:00,C,30.5,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:00
7/24/22,11:00:00,C,31,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:00
7/24/22,11:00:00,C,31.5,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:00
7/24/22,11:00:00,C,30.5,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:00
7/24/22,11:00:00,C,30,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:00
7/24/22,11:01:00,C,29.5,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:01
7/24/22,11:01:00,C,29.5,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:01
7/24/22,11:01:00,C,29.5,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:01
7/24/22,11:01:00,C,29,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:01
7/24/22,11:01:00,C,32,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:01
7/24/22,11:01:00,C,27.5,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:01
7/24/22,11:01:00,C,31.5,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:01
7/24/22,11:01:00,C,31.5,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:01
7/24/22,11:01:00,C,31.5,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:01
7/24/22,11:01:00,C,30.5,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:01
7/24/22,11:01:00,C,30.5,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:01
7/24/22,11:01:00,C,33.5,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:01
7/24/22,11:01:00,C,31.5,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:01
7/24/22,11:01:00,C,29.5,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:01
7/24/22,11:01:00,C,31,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:01
7/24/22,11:01:00,C,30.5,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:01
7/24/22,11:01:00,C,33,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:01
7/24/22,11:01:00,C,30.5,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:01
7/24/22,11:01:00,C,31,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:01
7/24/22,11:02:00,C,33,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:02
7/24/22,11:02:00,C,29.5,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:02
7/24/22,11:02:00,C,30,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:02
7/24/22,11:02:00,C,31.5,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:02
7/24/22,11:02:00,C,33,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:02
7/24/22,11:02:00,C,30.5,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:02
7/24/22,11:02:00,C,28,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:02
7/24/22,11:02:00,C,29.5,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:02
7/24/22,11:02:00,C,31,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:02
7/24/22,11:02:00,C,31,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:02
7/24/22,11:02:00,C,32,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:02
7/24/22,11:02:00,C,30.5,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:02
7/24/22,11:02:00,C,30.5,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:02
7/24/22,11:03:00,C,30,Brown,SAPE,Brown SAPE,Q1,iButton,7/24/22 11:03
7/24/22,11:03:00,C,25.5,Brown,SAPE,Brown SAPE,Q2,iButton,7/24/22 11:03
7/24/22,11:03:00,C,30,Brown,SAPE,Brown SAPE,Q3,iButton,7/24/22 11:03
7/24/22,11:03:00,C,29,Brown,SAPE,Brown SAPE,Q4,iButton,7/24/22 11:03
7/24/22,11:03:00,C,32,Brown,SAPE,Brown SAPE,Q7,iButton,7/24/22 11:03
7/24/22,11:03:00,C,27.5,Brown,SAPE,Brown SAPE,Q9,iButton,7/24/22 11:03
7/24/22,11:03:00,C,27.5,Brown,STSA,Brown STSA,Q2,iButton,7/24/22 11:03
7/24/22,11:03:00,C,31.5,Brown,STSA,Brown STSA,Q3,iButton,7/24/22 11:03
7/24/22,11:03:00,C,32,Brown,STSA,Brown STSA,Q5,iButton,7/24/22 11:03
7/24/22,11:03:00,C,30.5,Brown,STSA,Brown STSA,Q6,iButton,7/24/22 11:03
7/24/22,11:03:00,C,30.5,Green,SAPE,Green SAPE,Q2,iButton,7/24/22 11:03
7/24/22,11:03:00,C,34,Green,SAPE,Green SAPE,Q4,iButton,7/24/22 11:03
7/24/22,11:03:00,C,32,Green,SAPE,Green SAPE,Q5,iButton,7/24/22 11:03
7/24/22,11:03:00,C,30,Green,STSA,Green STSA,Q1,iButton,7/24/22 11:03
7/24/22,11:03:00,C,29,Green,STSA,Green STSA,Q2,iButton,7/24/22 11:03
7/24/22,11:03:00,C,30.5,Green,STSA,Green STSA,Q3,iButton,7/24/22 11:03
7/24/22,11:03:00,C,33,Green,STSA,Green STSA,Q4,iButton,7/24/22 11:03
7/24/22,11:03:00,C,31,Green,STSA,Green STSA,Q6,iButton,7/24/22 11:03
7/24/22,11:03:00,C,31,Green,STSA,Green STSA,Q7,iButton,7/24/22 11:03
7/24/22,11:04:00,C,33.5,Brown,SAPE,Brown SAPE,Q5,iButton,7/24/22 11:04
7/24/22,11:04:00,C,29.5,Brown,SAPE,Brown SAPE,Q6,iButton,7/24/22 11:04
7/24/22,11:04:00,C,30,Brown,STSA,Brown STSA,Q1,iButton,7/24/22 11:04
7/24/22,11:04:00,C,31.5,Brown,STSA,Brown STSA,Q4,iButton,7/24/22 11:04
7/24/22,11:04:00,C,33,Brown,STSA,Brown STSA,Q7,iButton,7/24/22 11:04
7/24/22,11:04:00,C,30.5,Brown,STSA,Brown STSA,Q9,iButton,7/24/22 11:04
7/24/22,11:04:00,C,28,Green,SAPE,Green SAPE,Q1,iButton,7/24/22 11:04
7/24/22,11:04:00,C,28,Green,SAPE,Green SAPE,Q3,iButton,7/24/22 11:04
7/24/22,11:04:00,C,31.5,Green,SAPE,Green SAPE,Q6,iButton,7/24/22 11:04
7/24/22,11:04:00,C,31.5,Green,SAPE,Green SAPE,Q7,iButton,7/24/22 11:04
7/24/22,11:04:00,C,32,Green,SAPE,Green SAPE,Q9,iButton,7/24/22 11:04
7/24/22,11:04:00,C,31,Green,STSA,Green STSA,Q5,iButton,7/24/22 11:04
7/24/22,11:04:00,C,30.5,Green,STSA,Green STSA,Q9,iButton,7/24/22 11:04
