date,time,unit,temperature,condition,species,quadrat,loggertype,rainfall,datetime,elapsed_time
7/24/22, 11:01:00 AM,C,29.5,B,SP,Q1,iButton,0,2022-07-24T09:01:00Z,0.016666666666666666
7/24/22, 11:03:00 AM,C,30,B,SP,Q1,iButton,0,2022-07-24T09:03:00Z,0.05
7/24/22, 11:05:00 AM,C,30,B,SP,Q1,iButton,0,2022-07-24T09:05:00Z,0.08333333333333333
7/24/22, 11:07:00 AM,C,30,B,SP,Q1,iButton,0,2022-07-24T09:07:00Z,0.11666666666666667
7/24/22, 11:09:00 AM,C,30,B,SP,Q1,iButton,0,2022-07-24T09:09:00Z,0.15
7/24/22, 11:11:00 AM,C,30.5,B,SP,Q1,iButton,0,2022-07-24T09:11:00Z,0.18333333333333332
7/24/22, 11:13:00 AM,C,30.5,B,SP,Q1,iButton,0,2022-07-24T09:13:00Z,0.21666666666666667
7/24/22, 11:15:00 AM,C,30.5,B,SP,Q1,iButton,0,2022-07-24T09:15:00Z,0.25
7/24/22, 11:17:00 AM,C,31,B,SP,Q1,iButton,0,2022-07-24T09:17:00Z,0.2833333333333333
7/24/22, 11:19:00 AM,C,31,B,SP,Q1,iButton,0,2022-07-24T09:19:00Z,0.31666666666666665
7/24/22, 11:21:00 AM,C,31,B,SP,Q1,iButton,0,2022-07-24T09:21:00Z,0.35
7/24/22, 11:23:00 AM,C,31.5,B,SP,Q1,iButton,0,2022-07-24T09:23:00Z,0.38333333333333336
7/24/22, 11:25:00 AM,C,31.5,B,SP,Q1,iButton,0,2022-07-24T09:25:00Z,0.4166666666666667
7/24/22, 11:27:00 AM,C,31.5,B,SP,Q1,iButton,0,2022-07-24T09:27:00Z,0.45
7/24/22, 11:29:00 AM,C,31.5,B,SP,Q1,iButton,0,2022-07-24T09:29:00Z,0.48333333333333334
7/24/22, 11:31:00 AM,C,32,B,SP,Q1,iButton,0,2022-07-24T09:31:00Z,0.5166666666666667
7/24/22, 11:33:00 AM,C,32,B,SP,Q1,iButton,0,2022-07-24T09:33:00Z,0.55
7/24/22, 11:35:00 AM,C,32,B,SP,Q1,iButton,0,2022-07-24T09:35:00Z,0.5833333333333334
7/24/22, 11:37:00 AM,C,32.5,B,SP,Q1,iButton,0,2022-07-24T09:37:00Z,0.6166666666666667
7/24/22, 11:39:00 AM,C,32.5,B,SP,Q1,iButton,0,2022-07-24T09:39:00Z,0.65
7/24/22, 11:41:00 AM,C,32.5,B,SP,Q1,iButton,0,2022-07-24T09:41:00Z,0.6833333333333333
7/24/22, 11:43:00 AM,C,33,B,SP,Q1,iButton,0,2022-07-24T09:43:00Z,0.7166666666666667
7/24/22, 11:45:00 AM,C,33,B,SP,Q1,iButton,0,2022-07-24T09:45:00Z,0.75
7/24/22, 11:47:00 AM,C,33.5,B,SP,Q1,iButton,0,2022-07-24T09:47:00Z,0.7833333333333333
7/24/22, 11:49:00 AM,C,33,B,SP,Q1,iButton,0,2022-07-24T09:49:00Z,0.8166666666666667
7/24/22, 11:51:00 AM,C,33.5,B,SP,Q1,iButton,0,2022-07-24T09:51:00Z,0.85
7/24/22, 11:53:00 AM,C,34,B,SP,Q1,iButton,0,2022-07-24T09:53:00Z,0.8833333333333333
7/24/22, 11:55:00 AM,C,34.5,B,SP,Q1,iButton,0,2022-07-24T09:55:00Z,0.9166666666666666
7/24/22, 11:57:00 AM,C,34.5,B,SP,Q1,iButton,0,2022-07-24T09:57:00Z,0.95
7/24/22, 11:59:00 AM,C,35.5,B,SP,Q1,iButton,0,2022-07-24T09:59:00Z,0.9833333333333333
7/24/22, 12:01:00 PM,C,38,B,SP,Q1,iButton,0,2022-07-24T10:01:00Z,1.0166666666666666
7/24/22, 12:03:00 PM,C,38.5,B,SP,Q1,iButton,0,2022-07-24T10:03:00Z,1.05
7/24/22, 12:05:00 PM,C,39,B,SP,Q1,iButton,0,2022-07-24T10:05:00Z,1.0833333333333333
7/24/22, 12:07:00 PM,C,39,B,SP,Q1,iButton,0,2022-07-24T10:07:00Z,1.1166666666666667
7/24/22, 12:09:00 PM,C,39.5,B,SP,Q1,iButton,0,2022-07-24T10:09:00Z,1.15
7/24/22, 12:11:00 PM,C,39.5,B,SP,Q1,iButton,0,2022-07-24T10:11:00Z,1.1833333333333333
7/24/22, 12:13:00 PM,C,39.5,B,SP,Q1,iButton,0,2022-07-24T10:13:00Z,1.2166666666666666
7/24/22, 12:15:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:15:00Z,1.25
7/24/22, 12:17:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:17:00Z,1.2833333333333334
7/24/22, 12:19:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:19:00Z,1.3166666666666667
7/24/22, 12:21:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:21:00Z,1.35
7/24/22, 12:23:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:23:00Z,1.3833333333333333
7/24/22, 12:25:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:25:00Z,1.4166666666666667
7/24/22, 12:27:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:27:00Z,1.45
7/24/22, 12:29:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:29:00Z,1.4833333333333334
7/24/22, 12:31:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:31:00Z,1.5166666666666666
7/24/22, 12:33:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:33:00Z,1.55
7/24/22, 12:35:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:35:00Z,1.5833333333333333
7/24/22, 12:37:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:37:00Z,1.6166666666666667
7/24/22, 12:39:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:39:00Z,1.65
7/24/22, 12:41:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:41:00Z,1.6833333333333333
7/24/22, 12:43:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:43:00Z,1.7166666666666666
7/24/22, 12:45:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:45:00Z,1.75
7/24/22, 12:47:00 PM,C,40.5,B,SP,Q1,iButton,0,2022-07-24T10:47:00Z,1.7833333333333334
7/24/22, 12:49:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:49:00Z,1.8166666666666667
7/24/22, 12:51:00 PM,C,40,B,SP,Q1,iButton,0,2022-07-24T10:51:00Z,1.85
7/24/22, 12:53:00 PM,C,40.5,B,SP,Q1,iButton,0,2022-07-24T10:53:00Z,1.8833333333333333
7/24/22, 12:55:00 PM,C,40.5,B,SP,Q1,iButton,0,2022-07-24T10:55:00Z,1.9166666666666667
7/24/22, 12:57:00 PM,C,40.5,B,SP,Q1,iButton,0,2022-07-24T10:57:00Z,1.95
7/24/22, 12:59:00 PM,C,40.5,B,SP,Q1,iButton,0,2022-07-24T10:59:00Z,1.9833333333333334
7/24/22, 1:01:00 PM,C,40.5,B,SP,Q1,iButton,0,2022-07-24T11:01:00Z,2.0166666666666666
7/24/22, 1:03:00 PM,C,41,B,SP,Q1,iButton,0,2022-07-24T11:03:00Z,2.05
7/24/22, 1:05:00 PM,C,41,B,SP,Q1,iButton,0,2022-07-24T11:05:00Z,2.0833333333333335
7/24/22, 1:07:00 PM,C,41,B,SP,Q1,iButton,0,2022-07-24T11:07:00Z,2.1166666666666667
7/24/22, 1:09:00 PM,C,41,B,SP,Q1,iButton,0,2022-07-24T11:09:00Z,2.15
7/24/22, 1:11:00 PM,C,41.5,B,SP,Q1,iButton,0,2022-07-24T11:11:00Z,2.183333333333333
7/24/22, 1:13:00 PM,C,41.5,B,SP,Q1,iButton,0,2022-07-24T11:13:00Z,2.216666666666667
7/24/22, 1:15:00 PM,C,41.5,B,SP,Q1,iButton,0,2022-07-24T11:15:00Z,2.25
7/24/22, 1:17:00 PM,C,41.5,B,SP,Q1,iButton,0,2022-07-24T11:17:00Z,2.283333333333333
7/24/22, 1:19:00 PM,C,41.5,B,SP,Q1,iButton,0,2022-07-24T11:19:00Z,2.316666666666667
7/24/22, 1:21:00 PM,C,41.5,B,SP,Q1,iButton,0,2022-07-24T11:21:00Z,2.35
7/24/22, 1:23:00 PM,C,41.5,B,SP,Q1,iButton,0,2022-07-24T11:23:00Z,2.3833333333333333
7/24/22, 1:25:00 PM,C,42,B,SP,Q1,iButton,0,2022-07-24T11:25:00Z,2.4166666666666665
7/24/22, 1:27:00 PM,C,42,B,SP,Q1,iButton,0,2022-07-24T11:27:00Z,2.45
7/24/22, 1:29:00 PM,C,42,B,SP,Q1,iButton,0,2022-07-24T11:29:00Z,2.4833333333333334
7/24/22, 1:31:00 PM,C,42.5,B,SP,Q1,iButton,0,2022-07-24T11:31:00Z,2.5166666666666666
7/24/22, 1:33:00 PM,C,42.5,B,SP,Q1,iButton,0,2022-07-24T11:33:00Z,2.55
7/24/22, 1:35:00 PM,C,42.5,B,SP,Q1,iButton,0,2022-07-24T11:35:00Z,2.5833333333333335
7/24/22, 1:37:00 PM,C,43,B,SP,Q1,iButton,0,2022-07-24T11:37:00Z,2.6166666666666667
7/24/22, 1:39:00 PM,C,43,B,SP,Q1,iButton,0,2022-07-24T11:39:00Z,2.65
7/24/22, 1:41:00 PM,C,42.5,B,SP,Q1,iButton,0,2022-07-24T11:41:00Z,2.683333333333333
7/24/22, 1:43:00 PM,C,42.5,B,SP,Q1,iButton,0,2022-07-24T11:43:00Z,2.716666666666667
7/24/22, 1:45:00 PM,C,43,B,SP,Q1,iButton,0,2022-07-24T11:45:00Z,2.75
7/24/22, 1:47:00 PM,C,43,B,SP,Q1,iButton,0,2022-07-24T11:47:00Z,2.783333333333333
7/24/22, 1:49:00 PM,C,43,B,SP,Q1,iButton,0,2022-07-24T11:49:00Z,2.816666666666667
7/24/22, 1:51:00 PM,C,43,B,SP,Q1,iButton,0,2022-07-24T11:51:00Z,2.85
7/24/22, 1:53:00 PM,C,42.5,B,SP,Q1,iButton,0,2022-07-24T11:53:00Z,2.8833333333333333
7/24/22, 1:55:00 PM,C,43.5,B,SP,Q1,iButton,0,2022-07-24T11:55:00Z,2.9166666666666665
