date,time,temperature,depth,quadrat,loggertype,rainfall,datetime,elapsed_time
7/30/22,12:00:00,37,D0,Q1,iButton,0,2022-07-30T10:00:00Z,0
7/30/22,12:02:00,37,D0,Q1,iButton,0,2022-07-30T10:02:00Z,0.03333333333333333
7/30/22,12:04:00,38,D0,Q1,iButton,0,2022-07-30T10:04:00Z,0.06666666666666667
7/30/22,12:06:00,38,D0,Q1,iButton,0,2022-07-30T10:06:00Z,0.1
7/30/22,12:08:00,32,D0,Q1,iButton,0,2022-07-30T10:08:00Z,0.13333333333333333
7/30/22,12:10:00,31.5,D0,Q1,iButton,0,2022-07-30T10:10:00Z,0.16666666666666666
7/30/22,12:12:00,27.5,D0,Q1,iButton,0,2022-07-30T10:12:00Z,0.2
7/30/22,12:14:00,23,D0,Q1,iButton,0,2022-07-30T10:14:00Z,0.23333333333333334
7/30/22,12:16:00,22.5,D0,Q1,iButton,0,2022-07-30T10:16:00Z,0.26666666666666666
7/30/22,12:18:00,22,D0,Q1,iButton,0,2022-07-30T10:18:00Z,0.3
7/30/22,12:20:00,21.5,D0,Q1,iButton,0,2022-07-30T10:20:00Z,0.3333333333333333
7/30/22,12:22:00,22,D0,Q1,iButton,0,2022-07-30T10:22:00Z,0.36666666666666664
7/30/22,12:24:00,22.5,D0,Q1,iButton,0,2022-07-30T10:24:00Z,0.4
7/30/22,12:26:00,20.5,D0,Q1,iButton,0,2022-07-30T10:26:00Z,0.43333333333333335
7/30/22,12:28:00,21,D0,Q1,iButton,0,2022-07-30T10:28:00Z,0.4666666666666667
7/30/22,12:30:00,21.5,D0,Q1,iButton,0,2022-07-30T10:30:00Z,0.5
7/30/22,12:32:00,22,D0,Q1,iButton,0,2022-07-30T10:32:00Z,0.5333333333333333
7/30/22,12:34:00,22.5,D0,Q1,iButton,0,2022-07-30T10:34:00Z,0.5666666666666667
7/30/22,12:36:00,22.5,D0,Q1,iButton,0,2022-07-30T10:36:00Z,0.6
7/30/22,12:38:00,22.5,D0,Q1,iButton,0,2022-07-30T10:38:00Z,0.6333333333333333
7/30/22,12:40:00,22.5,D0,Q1,iButton,0,2022-07-30T10:40:00Z,0.6666666666666666
7/30/22,12:42:00,22,D0,Q1,iButton,0,2022-07-30T10:42:00Z,0.7
7/30/22,12:44:00,22,D0,Q1,iButton,0,2022-07-30T10:44:00Z,0.7333333333333333
7/30/22,12:46:00,21.5,D0,Q1,iButton,0,2022-07-30T10:46:00Z,0.7666666666666667
7/30/22,12:48:00,22.5,D0,Q1,iButton,0,2022-07-30T10:48:00Z,0.8
7/30/22,12:50:00,23,D0,Q1,iButton,0,2022-07-30T10:50:00Z,0.8333333333333334
7/30/22,12:52:00,23,D0,Q1,iButton,0,2022-07-30T10:52:00Z,0.8666666666666667
7/30/22,12:54:00,23.5,D0,Q1,iButton,0,2022-07-30T10:54:00Z,0.9
7/30/22,12:56:00,23.5,D0,Q1,iButton,0,2022-07-30T10:56:00Z,0.9333333333333333
7/30/22,12:58:00,23,D0,Q1,iButton,0,2022-07-30T10:58:00Z,0.9666666666666667
7/30/22,13:00:00,24,D0,Q1,iButton,0,2022-07-30T11:00:00Z,1
7/30/22,13:02:00,23.5,D0,Q1,iButton,0,2022-07-30T11:02:00Z,1.0333333333333334
7/30/22,13:04:00,23,D0,Q1,iButton,0,2022-07-30T11:04:00Z,1.0666666666666667
7/30/22,13:06:00,22.5,D0,Q1,iButton,0,2022-07-30T11:06:00Z,1.1
7/30/22,13:08:00,23,D0,Q1,iButton,0,2022-07-30T11:08:00Z,1.1333333333333333
7/30/22,13:10:00,23.5,D0,Q1,iButton,0,2022-07-30T11:10:00Z,1.1666666666666667
7/30/22,13:12:00,23,D0,Q1,iButton,0,2022-07-30T11:12:00Z,1.2
7/30/22,13:14:00,24.5,D0,Q1,iButton,0,2022-07-30T11:14:00Z,1.2333333333333334
7/30/22,13:16:00,24,D0,Q1,iButton,0,2022-07-30T11:16:00Z,1.2666666666666666
7/30/22,13:18:00,24,D0,Q1,iButton,0,2022-07-30T11:18:00Z,1.3
7/30/22,13:20:00,25,D0,Q1,iButton,0,2022-07-30T11:20:00Z,1.3333333333333333
7/30/22,13:22:00,25.5,D0,Q1,iButton,0,2022-07-30T11:22:00Z,1.3666666666666667
7/30/22,13:24:00,25,D0,Q1,iButton,0,2022-07-30T11:24:00Z,1.4
7/30/22,13:26:00,25,D0,Q1,iButton,0,2022-07-30T11:26:00Z,1.4333333333333333
7/30/22,13:28:00,24.5,D0,Q1,iButton,0,2022-07-30T11:28:00Z,1.4666666666666666
7/30/22,13:30:00,24.5,D0,Q1,iButton,0,2022-07-30T11:30:00Z,1.5
7/30/22,13:32:00,24.5,D0,Q1,iButton,0,2022-07-30T11:32:00Z,1.5333333333333334
