Date,Hour,Datetime,AirTemp (G),SoilTemp (G),Fog (G),WindSpeed (G),Humidity (G),AirTemp. (A),SoilTemp. (A),Fog (A),WindSpeed (A),Humidity (A)
7/30/22,1:00,7/30/22 1:00,7.1,14.5,0,0.1,78.1,7.7,13,0,2.4,77.6
7/30/22,2:00,7/30/22 2:00,7,13.7,0,0,78.8,6.5,12.2,0,1.8,80.2
7/30/22,3:00,7/30/22 3:00,6.1,12.9,0,0,80.3,5.4,11.4,0,2.6,75.3
7/30/22,4:00,7/30/22 4:00,5.2,12.2,0,0,79.2,5,10.7,0,2.6,69.5
7/30/22,5:00,7/30/22 5:00,5.6,11.6,0,0,80,4.3,10.1,0,0.8,74.8
7/30/22,6:00,7/30/22 6:00,4.8,11.1,0,0,80.3,3.2,9.5,0,3.2,75.3
7/30/22,7:00,7/30/22 7:00,6.6,10.7,0,0,68.2,5.8,9.1,0,3.9,75.7
7/30/22,8:00,7/30/22 8:00,10.6,11.4,0,0,52.6,11.5,9.6,0,4.3,59.7
7/30/22,9:00,7/30/22 9:00,16.1,13.6,0,0,38.3,16.4,11.8,0,2.2,41.2
7/30/22,10:00,7/30/22 10:00,18.9,16.9,0,0.2,29.9,19.3,15.1,0,1.2,31.4
7/30/22,11:00,7/30/22 11:00,19.5,20.5,0,0.1,28.2,20.3,19,0,2.2,29.3
7/30/22,12:00,7/30/22 12:00,21.2,23.5,0,0.2,23.3,21,22.4,0,1.9,26.6
7/30/22,13:00,7/30/22 13:00,22,26,0,0.2,22,22,25,0,3.1,23.2
7/30/22,14:00,7/30/22 14:00,22.4,27.4,0,1.1,22.8,22.6,26.6,0,4,22.3
7/30/22,15:00,7/30/22 15:00,21.5,27.5,0,4,27.2,22.1,26.4,0,6.7,27.4
7/30/22,16:00,7/30/22 16:00,20.5,26.5,0,5,31.3,21.1,25.7,0,6.3,30.9
7/30/22,17:00,7/30/22 17:00,18.3,24.7,0,4.6,41.5,18.7,24.2,0,6.4,39.3
7/30/22,18:00,7/30/22 18:00,15.6,22.6,0,4.1,53.9,15.5,22.2,0,5.4,56.7
7/30/22,19:00,7/30/22 19:00,13.8,20.8,0,2.4,62.8,13.4,20.2,0,4.5,65.2
7/30/22,20:00,7/30/22 20:00,12.6,19.3,0,0.2,70.1,11.5,18.5,0,2.1,72.9
7/30/22,21:00,7/30/22 21:00,11.6,18,0,0,74.7,11.1,17,0,1.9,76.9
7/30/22,22:00,7/30/22 22:00,10.1,16.9,0,0,79.9,9.8,15.7,0,1.5,81.2
7/30/22,23:00,7/30/22 23:00,10,15.9,0,0,83.3,8.4,14.6,0,0.5,80.7
7/30/22,24:00:00,7/31/22 0:00,7.5,15.1,0,0.6,77.8,6.3,13.6,0,1.5,83
7/31/22,1:00,7/31/22 1:00,7,14.2,0,0,77.8,5.7,12.7,0,3.3,83
7/31/22,2:00,7/31/22 2:00,6.3,13.5,0,0,77.9,5,12,0,3.9,82.1
7/31/22,3:00,7/31/22 3:00,5.6,12.7,0,0,78.1,5,11.3,0,3.9,90
7/31/22,4:00,7/31/22 4:00,4.7,12,0,0.1,83.2,5.2,10.7,0.3,3.5,95.9
7/31/22,5:00,7/31/22 5:00,4.2,11.5,0,0.1,91.9,6.6,10.6,1.6,3.5,99
7/31/22,6:00,7/31/22 6:00,5.4,11.5,0.5,0.6,96.6,6.4,10.9,0.6,2.9,99.6
7/31/22,7:00,7/31/22 7:00,6.3,11.7,0.3,2.3,97.4,6.9,11.2,0.4,3.8,99.9
7/31/22,8:00,7/31/22 8:00,7.1,12.2,0,2.4,97.4,7.8,11.7,0,4.2,99.6
7/31/22,9:00,7/31/22 9:00,9,13.4,0,1.6,90.6,9.9,12.8,0,3,94.2
7/31/22,10:00,7/31/22 10:00,,,,,,12.4,14.9,0,3.4,81.6
7/31/22,11:00,7/31/22 11:00,,,,,,14.8,17.8,0,4.5,67.3
7/31/22,12:00,7/31/22 12:00,,,,,,16.1,20.5,0,5.3,58.4
7/31/22,13:00,7/31/22 13:00,,,,,,16.7,22.6,0,6.3,57.9
7/31/22,14:00,7/31/22 14:00,,,,,,16.3,23.7,0,4.6,57.8
