Species,LitterCond,TYPE,Bag_ID,Bag_Mass,TargetMass,MassT0noBag,MassT1wBag,MassT2wBag,LitterDryMasswBag
STSA,brown,BSS,9A,1.27,10,9.4,8.48,7.11,5.35
STSA,brown,BSS,9B,1.27,10,9.5,8.71,7.36,5.63
STSA,brown,BSS,9C,1.24,10,10.36,10.05,8.78,5.84
STSA,brown,BSS,9D,1.3,10,9.97,9.11,7.68,5.96
STSA,brown,BSS,9E,1.28,10,10.21,8.73,7.66,6.01
STSA,brown,BSS,10A,1.29,5,4.85,4.65,4.14,3.45
STSA,brown,BSS,10B,1.27,5,5.09,4.59,4.13,3.67
STSA,brown,BSS,10C,1.3,5,5.28,4.9,4.42,3.81
STSA,brown,BSS,10D,1.29,5,5.54,5.36,4.53,3.84
STSA,brown,BSS,10E,1.27,5,5.06,4.02,3.61,3.03
STSA,brown,BSS,11A,1.3,2,1.83,2.39,2.22,2.08
STSA,brown,BSS,11B,1.31,2,2.11,2.64,2.45,2.29
STSA,brown,BSS,11C,1.26,2,1.96,2.48,2.33,2.17
STSA,brown,BSS,11D,1.28,2,2.31,2.8,2.61,2.45
STSA,brown,BSS,11E,1.26,2,2.13,2.53,2.42,2.26
STSA,brown,BSS,12A,1.29,1,2.11,NA,NA,NA
STSA,brown,BSS,12B,1.24,1,1.25,2.03,1.81,1.73
STSA,brown,BSS,12C,1.3,1,0.93,1.85,1.8,1.71
STSA,brown,BSS,12D,1.3,1,1.15,2.05,1.96,1.83
STSA,brown,BSS,12E,1.29,1,1.1,1.92,1.89,1.81
STSA,green,GSS,13A,1.27,10,9.94,9.8,9.34,7.91
STSA,green,GSS,13B,1.32,10,10.05,10.07,9.54,7.44
STSA,green,GSS,13C,1.32,10,10.6,10.4,9.91,8.12
STSA,green,GSS,13D,1.29,10,9.97,9.9,9.45,7.88
STSA,green,GSS,13E,1.27,10,10.02,9.89,9.35,7.73
STSA,green,GSS,14A,1.29,5,5.04,5.71,5.43,4.42
STSA,green,GSS,14B,1.31,5,4.82,5.51,5.25,4.47
STSA,green,GSS,14C,1.3,5,4.84,5.49,5.3,4.51
STSA,green,GSS,14D,1.29,5,4.99,5.42,5.22,4.46
STSA,green,GSS,14E,1.27,5,5.3,5.82,5.57,4.65
STSA,green,GSS,15A,1.26,2,2.45,3.33,3.22,2.84
STSA,green,GSS,15B,1.27,2,2.23,3.09,3.02,2.71
STSA,green,GSS,15C,1.3,2,2,2.99,2.93,2.68
STSA,green,GSS,15D,1.28,2,2.41,3.35,3.22,2.76
STSA,green,GSS,15E,1.29,2,1.84,2.8,2.72,2.43
STSA,green,GSS,16A,1.27,1,0.99,2.1,2.09,1.91
STSA,green,GSS,16B,1.28,1,1.23,2.33,2.26,2.13
STSA,green,GSS,16C,1.27,1,1.19,2.29,2.24,2.06
STSA,green,GSS,16D,1.28,1,0.92,2.05,2.02,1.86
STSA,green,GSS,16E,1.29,1,1.24,NA,NA,NA
SAPE,brown,BSP,1A,1.27,10,9.99,9.15,8.54,5.3
SAPE,brown,BSP,1B,1.3,10,10.11,9.11,8.44,5.49
SAPE,brown,BSP,1C,1.31,10,9.91,8.85,8.2,5.5
SAPE,brown,BSP,1D,1.27,10,10.27,9.43,8.72,5.73
SAPE,brown,BSP,1E,1.28,10,10.3,9.67,8.84,5.57
SAPE,brown,BSP,2A,1.28,5,5.64,5.56,5.03,3.56
SAPE,brown,BSP,2B,1.31,5,5.37,5.34,4.84,3.6
SAPE,brown,BSP,2C,1.3,5,5.04,5.49,4.77,3.25
