Label,DEPTH,Plot,Rainfall,Interval,Sample_mass,SandMasswBag,Dryingbagmass,Drymasswbag,D_bagMasswSand,DrySandMass,TotalBagwSandMass,Date,Time,Datetime,Wmass,Dmass,Moist
0Q12,0,12,10,1,4.68,2.31,1.3,3.24,1.33,0.03,2.34,7/30/22,18:00:00,7/30/22 18:00,2.34,1.91,22.51308901
1Q8,1,8,10,6,NA,NA,NA,NA,NA,NA,NA,8/1/22,0:00:00,8/1/22 0:00,#VALUE!,#VALUE!,#VALUE!
1Q15,1,15,0,6,NA,NA,NA,NA,NA,NA,NA,8/1/22,0:00:00,8/1/22 0:00,#VALUE!,#VALUE!,#VALUE!
3Q8,3,8,10,6,6.17,2.87,1.31,3.02,1.61,0.3,3.17,8/1/22,0:00:00,8/1/22 0:00,3,1.41,112.7659574
1Q15,1,15,0,5,4.5,2.43,1.3,2.28,1.3,0,2.43,7/31/22,18:00:00,7/31/22 18:00,2.07,0.98,111.2244898
3Q12,3,12,10,6,8.07,3.49,1.34,4.35,2.88,1.54,5.03,8/1/22,0:00:00,8/1/22 0:00,3.04,1.47,106.8027211
1Q10,1,10,5,5,7.79,3.74,1.27,3.24,1.27,0,3.74,7/31/22,18:00:00,7/31/22 18:00,4.05,1.97,105.5837563
1Q2,1,2,5,3,5.82,2,1.21,3.35,1.52,0.31,2.31,7/31/22,6:00:00,7/31/22 6:00,3.51,1.83,91.80327869
1Q12,1,12,10,5,12.31,5.31,1.34,6.51,4.07,2.73,8.04,7/31/22,18:00:00,7/31/22 18:00,4.27,2.44,75
1Q12,1,12,10,3,9.18,4.15,1.32,4.74,2.54,1.22,5.37,7/31/22,6:00:00,7/31/22 6:00,3.81,2.2,73.18181818
3Q13,3,13,10,3,10.25,4.62,1.3,5.43,3.31,2.01,6.63,7/31/22,6:00:00,7/31/22 6:00,3.62,2.12,70.75471698
3Q13,3,13,10,6,7.19,3.22,1.3,4,2.2,0.9,4.12,8/1/22,0:00:00,8/1/22 0:00,3.07,1.8,70.55555556
3Q12,3,12,10,6,9.28,3.58,1.3,5.22,2.65,1.35,4.93,8/1/22,0:00:00,8/1/22 0:00,4.35,2.57,69.26070039
