datetime,temperature,RH,HeatIndex,DewPoint,DataType,KestrelID,loggertype,elapsed_time
2022-07-30T10:00:00Z,26.3,25.3,24.2,4.9,point,2635451,Kestrel,0
2022-07-30T11:00:00Z,24.8,96.2,27.2,24.1,point,2635451,Kestrel,1
2022-07-30T12:00:00Z,26,100,30.7,26,point,2635451,Kestrel,2
2022-07-30T13:00:00Z,25,100,28.3,25,point,2635451,Kestrel,3
2022-07-30T14:00:00Z,24,100,26.5,24,point,2635451,Kestrel,4
2022-07-30T15:00:00Z,22,100,23.4,22,point,2635451,Kestrel,5
2022-07-30T16:00:00Z,18.7,99.1,19.5,18.6,point,2635451,Kestrel,6
2022-07-30T17:00:00Z,15.9,98.9,16.4,15.7,point,2635451,Kestrel,7
2022-07-30T18:00:00Z,13.9,99,14.4,13.7,point,2635451,Kestrel,8
2022-07-30T19:00:00Z,12.4,99.5,13,12.4,point,2635451,Kestrel,9
2022-07-30T20:00:00Z,11.3,99.8,11.8,11.3,point,2635451,Kestrel,10
2022-07-30T21:00:00Z,10.1,99.9,10.4,10.1,point,2635451,Kestrel,11
2022-07-30T22:00:00Z,9,100,9.4,9,point,2635451,Kestrel,12
2022-07-30T23:00:00Z,8.2,100,8.6,8.2,point,2635451,Kestrel,13
2022-07-31T00:00:00Z,7.2,100,7.5,7.2,point,2635451,Kestrel,14
2022-07-31T01:00:00Z,6.4,100,6.6,6.4,point,2635451,Kestrel,15
2022-07-31T02:00:00Z,5.5,100,5.6,5.5,point,2635451,Kestrel,16
2022-07-31T03:00:00Z,4.6,100,4.8,4.6,point,2635451,Kestrel,17
2022-07-31T04:00:00Z,4,100,4,4,point,2635451,Kestrel,18
2022-07-31T05:00:00Z,5.1,100,5.3,5.1,point,2635451,Kestrel,19
2022-07-31T06:00:00Z,6.3,100,6.6,6.3,point,2635451,Kestrel,20
2022-07-31T07:00:00Z,8.2,100,8.6,8.2,point,2635451,Kestrel,21
2022-07-31T08:00:00Z,10.9,100,11.4,10.9,point,2635451,Kestrel,22
2022-07-31T09:00:00Z,14.4,100,15,14.4,point,2635451,Kestrel,23
2022-07-31T10:00:00Z,18.7,100,19.6,18.7,point,2635451,Kestrel,24
2022-07-31T11:00:00Z,21.3,100,22.4,21.3,point,2635451,Kestrel,25
2022-07-31T12:00:00Z,22.7,100,24.5,22.7,point,2635451,Kestrel,26
2022-07-31T13:00:00Z,23.9,100,26.2,23.9,point,2635451,Kestrel,27
2022-07-31T14:00:00Z,23.8,100,26.2,23.8,point,2635451,Kestrel,28
2022-07-31T15:00:00Z,22.1,100,23.4,22.1,point,2635451,Kestrel,29
2022-07-31T16:00:00Z,18.9,100,19.7,18.9,point,2635451,Kestrel,30
2022-07-31T17:00:00Z,15.9,100,16.5,15.9,point,2635451,Kestrel,31
2022-07-31T18:00:00Z,13.7,100,14.3,13.7,point,2635451,Kestrel,32
2022-07-31T19:00:00Z,12.3,100,12.8,12.3,point,2635451,Kestrel,33
2022-07-31T20:00:00Z,12.2,100,12.8,12.2,point,2635451,Kestrel,34
2022-07-31T21:00:00Z,11.5,100,11.9,11.5,point,2635451,Kestrel,35
2022-07-31T22:00:00Z,11,100,11.5,11,point,2635451,Kestrel,36
2022-07-31T23:00:00Z,10.9,100,11.4,10.9,point,2635451,Kestrel,37
2022-08-01T00:00:00Z,10.7,100,11.1,10.7,point,2635451,Kestrel,38
2022-08-01T01:00:00Z,10.5,100,10.9,10.5,point,2635451,Kestrel,39
2022-08-01T02:00:00Z,10.3,100,10.8,10.3,point,2635451,Kestrel,40
2022-08-01T03:00:00Z,10.2,100,10.7,10.2,point,2635451,Kestrel,41
2022-08-01T04:00:00Z,10.1,100,10.4,10.1,point,2635451,Kestrel,42
2022-08-01T05:00:00Z,9.7,100,10,9.7,point,2635451,Kestrel,43
2022-08-01T06:00:00Z,9.6,100,9.9,9.6,point,2635451,Kestrel,44
2022-08-01T07:00:00Z,10.3,100,10.8,10.3,point,2635451,Kestrel,45
2022-08-01T08:00:00Z,12.6,100,13.1,12.6,point,2635451,Kestrel,46
2022-08-01T09:00:00Z,15.8,100,16.5,15.8,point,2635451,Kestrel,47
2022-08-01T10:00:00Z,20.5,100,21.6,20.5,point,2635451,Kestrel,48
2022-07-30T23:16:00Z,7.7,99.5,7.9,7.6,point,2635457,Kestrel,13.266666666666667
2022-07-30T23:17:00Z,7.7,99.5,7.9,7.6,point,2635457,Kestrel,13.283333333333333
2022-07-30T23:18:00Z,7.6,99.5,7.9,7.6,point,2635457,Kestrel,13.3
2022-07-30T23:19:00Z,7.6,99.5,7.8,7.5,point,2635457,Kestrel,13.316666666666666
2022-07-30T23:20:00Z,7.5,99.5,7.7,7.4,point,2635457,Kestrel,13.333333333333334
2022-07-30T23:21:00Z,7.6,99.5,7.8,7.5,point,2635457,Kestrel,13.35
2022-07-30T23:22:00Z,7.5,99.5,7.8,7.4,point,2635457,Kestrel,13.366666666666667
2022-07-30T23:23:00Z,7.6,99.5,7.8,7.5,point,2635457,Kestrel,13.383333333333333
2022-07-30T23:24:00Z,7.6,99.5,7.8,7.5,point,2635457,Kestrel,13.4
2022-07-30T23:25:00Z,7.4,99.5,7.7,7.4,point,2635457,Kestrel,13.416666666666666
2022-07-30T23:26:00Z,7.5,99.5,7.8,7.4,point,2635457,Kestrel,13.433333333333334
