Date,Hour,Datetime,Station,AirTemp,SoilTemp,Fog,WindSpeed,Humidity
7/30/22,1:00,7/30/22 1:00,Gobabeb,7.1,14.5,0,0.1,78.1
7/30/22,2:00,7/30/22 2:00,Gobabeb,7,13.7,0,0,78.8
7/30/22,3:00,7/30/22 3:00,Gobabeb,6.1,12.9,0,0,80.3
7/30/22,4:00,7/30/22 4:00,Gobabeb,5.2,12.2,0,0,79.2
7/30/22,5:00,7/30/22 5:00,Gobabeb,5.6,11.6,0,0,80
7/30/22,6:00,7/30/22 6:00,Gobabeb,4.8,11.1,0,0,80.3
7/30/22,7:00,7/30/22 7:00,Gobabeb,6.6,10.7,0,0,68.2
7/30/22,8:00,7/30/22 8:00,Gobabeb,10.6,11.4,0,0,52.6
7/30/22,9:00,7/30/22 9:00,Gobabeb,16.1,13.6,0,0,38.3
7/30/22,10:00,7/30/22 10:00,Gobabeb,18.9,16.9,0,0.2,29.9
7/30/22,11:00,7/30/22 11:00,Gobabeb,19.5,20.5,0,0.1,28.2
7/30/22,12:00,7/30/22 12:00,Gobabeb,21.2,23.5,0,0.2,23.3
7/30/22,13:00,7/30/22 13:00,Gobabeb,22,26,0,0.2,22
7/30/22,14:00,7/30/22 14:00,Gobabeb,22.4,27.4,0,1.1,22.8
7/30/22,15:00,7/30/22 15:00,Gobabeb,21.5,27.5,0,4,27.2
7/30/22,16:00,7/30/22 16:00,Gobabeb,20.5,26.5,0,5,31.3
7/30/22,17:00,7/30/22 17:00,Gobabeb,18.3,24.7,0,4.6,41.5
7/30/22,18:00,7/30/22 18:00,Gobabeb,15.6,22.6,0,4.1,53.9
7/30/22,19:00,7/30/22 19:00,Gobabeb,13.8,20.8,0,2.4,62.8
7/30/22,20:00,7/30/22 20:00,Gobabeb,12.6,19.3,0,0.2,70.1
7/30/22,21:00,7/30/22 21:00,Gobabeb,11.6,18,0,0,74.7
7/30/22,22:00,7/30/22 22:00,Gobabeb,10.1,16.9,0,0,79.9
7/30/22,23:00,7/30/22 23:00,Gobabeb,10,15.9,0,0,83.3
7/30/22,24:00:00,7/31/22 0:00,Gobabeb,7.5,15.1,0,0.6,77.8
7/31/22,1:00,7/31/22 1:00,Gobabeb,7,14.2,0,0,77.8
7/31/22,2:00,7/31/22 2:00,Gobabeb,6.3,13.5,0,0,77.9
7/31/22,3:00,7/31/22 3:00,Gobabeb,5.6,12.7,0,0,78.1
7/31/22,4:00,7/31/22 4:00,Gobabeb,4.7,12,0,0.1,83.2
7/31/22,5:00,7/31/22 5:00,Gobabeb,4.2,11.5,0,0.1,91.9
7/31/22,6:00,7/31/22 6:00,Gobabeb,5.4,11.5,0.5,0.6,96.6
7/31/22,7:00,7/31/22 7:00,Gobabeb,6.3,11.7,0.3,2.3,97.4
7/31/22,8:00,7/31/22 8:00,Gobabeb,7.1,12.2,0,2.4,97.4
7/31/22,9:00,7/31/22 9:00,Gobabeb,9,13.4,0,1.6,90.6
7/31/22,10:00,7/31/22 10:00,Gobabeb,,,,,
7/31/22,11:00,7/31/22 11:00,Gobabeb,,,,,
7/31/22,12:00,7/31/22 12:00,Gobabeb,,,,,
7/31/22,13:00,7/31/22 13:00,Gobabeb,,,,,
7/31/22,14:00,7/31/22 14:00,Gobabeb,,,,,
7/31/22,15:00,7/31/22 15:00,Gobabeb,,,,,
7/31/22,16:00,7/31/22 16:00,Gobabeb,,,,,
7/31/22,17:00,7/31/22 17:00,Gobabeb,,,,,
7/31/22,18:00,7/31/22 18:00,Gobabeb,,,,,
7/31/22,19:00,7/31/22 19:00,Gobabeb,,,,,
7/31/22,20:00,7/31/22 20:00,Gobabeb,,,,,
7/31/22,21:00,7/31/22 21:00,Gobabeb,,,,,
7/31/22,22:00,7/31/22 22:00,Gobabeb,,,,,
7/31/22,23:00,7/31/22 23:00,Gobabeb,,,,,
7/31/22,24:00:00,8/1/22 0:00,Gobabeb,8.4,15.2,0,4.3,85.3
8/1/22,1:00,8/1/22 1:00,Gobabeb,8.2,14.9,0,4.1,85.3
8/1/22,2:00,8/1/22 2:00,Gobabeb,8.2,14.6,0,4.1,84.9
8/1/22,3:00,8/1/22 3:00,Gobabeb,8.4,14.3,0,3.6,83.7
8/1/22,4:00,8/1/22 4:00,Gobabeb,8.5,14.1,0,4.7,80.6
8/1/22,5:00,8/1/22 5:00,Gobabeb,8.3,13.9,0,4.9,79.1
8/1/22,6:00,8/1/22 6:00,Gobabeb,8.4,13.7,0,4.8,77.4
7/30/22,1:00,7/30/22 1:00,Aussinanis,7.7,13,0,2.4,77.6
7/30/22,2:00,7/30/22 2:00,Aussinanis,6.5,12.2,0,1.8,80.2
7/30/22,3:00,7/30/22 3:00,Aussinanis,5.4,11.4,0,2.6,75.3
7/30/22,4:00,7/30/22 4:00,Aussinanis,5,10.7,0,2.6,69.5
7/30/22,5:00,7/30/22 5:00,Aussinanis,4.3,10.1,0,0.8,74.8
7/30/22,6:00,7/30/22 6:00,Aussinanis,3.2,9.5,0,3.2,75.3
7/30/22,7:00,7/30/22 7:00,Aussinanis,5.8,9.1,0,3.9,75.7
7/30/22,8:00,7/30/22 8:00,Aussinanis,11.5,9.6,0,4.3,59.7
7/30/22,9:00,7/30/22 9:00,Aussinanis,16.4,11.8,0,2.2,41.2
7/30/22,10:00,7/30/22 10:00,Aussinanis,19.3,15.1,0,1.2,31.4
7/30/22,11:00,7/30/22 11:00,Aussinanis,20.3,19,0,2.2,29.3
