Species,Littercond,TYPE,Plot,Rainfall,Bag_mass1,Bag_mass2,Interval,Sample_mass,SandMasswBag,D_bagMasswSand,Drymasswbag,Date,Time,Cond_spec,Datetime
STSA,Brown,BSS,1,0,2,2,1,4.33,2.2,1.25,3.29,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,1,0,1.96,1.99,1,4.56,2.36,1.25,3.33,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,1,0,1.97,1.99,1,3.95,1.98,1.21,3.1,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,1,0,1.89,2,1,4.01,1.97,1.23,3.17,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,2,5,1.98,1.96,1,4.26,2.13,1.24,3.21,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,2,5,1.95,2,1,4.06,1.97,1.24,3.22,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,2,5,1.91,1.97,1,3.99,1.95,1.23,3.13,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,2,5,1.96,1.95,1,4.09,1.97,1.26,3.22,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,3,10,2,1.95,1,4.32,2.12,1.27,3.25,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,3,10,1.98,1.93,1,4.14,2.04,1.23,3.23,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,3,10,1.95,1.94,1,4.04,2.03,1.33,3.08,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,3,10,1.94,1.95,1,3.96,1.94,1.29,3.1,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,4,5,2.01,1.94,1,4.12,2.01,1.29,3.28,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,4,5,1.97,1.94,1,4.23,2.12,1.24,3.2,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,4,5,1.95,1.96,1,4,1.96,1.25,3.16,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,4,5,1.94,2,1,4.03,1.99,1.26,3.18,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,5,0,2,1.94,1,4.12,2.11,1.26,3.23,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,5,0,1.91,1.94,1,4.17,1.93,1.26,3.27,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,5,0,1.94,1.93,1,3.93,1.96,1.25,3.15,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,5,0,1.95,1.95,1,3.9,1.96,1.25,3.13,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,6,10,1.98,1.99,1,4.95,2.2,1.26,3.39,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,6,10,1.95,1.95,1,5.16,2.65,1.28,3.38,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,6,10,1.95,2,1,4.12,2.01,1.29,3.19,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,6,10,1.89,2,1,4.18,1.96,1.27,3.23,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,7,0,1.96,2.01,1,4.2,2.09,1.29,3.33,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,7,0,1.95,1.98,1,4.09,2.04,1.28,3.24,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,7,0,1.92,1.94,1,6.82,5.22,1.31,2.74,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,7,0,1.89,1.96,1,2.98,1.96,1.26,2.23,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,8,5,1.99,2,1,4.33,2.14,1.28,3.31,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,8,5,1.98,1.91,1,4.18,2.13,1.28,3.23,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,8,5,1.96,1.98,1,4.2,2.07,1.28,3.23,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,8,5,1.88,1.93,1,4.1,2,1.29,3.19,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,9,10,1.95,1.96,1,6.03,3.38,1.28,3.39,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,9,10,1.98,1.96,1,4.21,2.03,1.24,3.3,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,9,10,1.99,1.94,1,4.1,2.02,1.25,3.14,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,9,10,1.95,1.96,1,4.12,2.01,1.24,3.23,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,10,10,1.99,1.97,1,4.16,2.05,1.3,3.34,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,10,10,1.94,1.95,1,4.24,2.09,1.27,3.26,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,10,10,1.95,1.95,1,4.4,2.11,1.27,3.15,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,10,10,1.97,1.97,1,4.23,2.1,1.33,3.21,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,11,0,1.97,2,1,4.05,2.02,1.3,3.25,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,11,0,1.96,2,1,4.13,2.08,1.3,3.29,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,11,0,1.98,1.98,1,3.96,1.97,1.28,3.17,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,11,0,1.96,1.96,1,3.93,1.98,1.28,3.16,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,12,5,2,1.96,1,4.46,2.27,1.29,3.33,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,12,5,1.95,1.96,1,4.11,2.03,1.28,3.26,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,12,5,1.93,1.98,1,4.27,2.02,1.27,3.32,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,12,5,1.88,1.98,1,3.87,1.93,1.32,3.15,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,13,0,1.97,1.94,1,3.96,1.98,1.3,3.2,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,13,0,1.91,1.96,1,4.05,1.99,1.3,3.27,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,13,0,1.94,1.93,1,3.89,1.92,1.27,3.17,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,13,0,1.96,1.91,1,3.93,1.95,1.31,3.22,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,14,5,1.98,1.93,1,4.08,1.99,1.31,3.26,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,14,5,1.95,1.94,1,4.06,1.96,1.29,3.29,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,14,5,1.95,1.96,1,4.21,2.05,1.3,3.27,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,14,5,1.9,1.95,1,4.03,1.96,1.3,3.27,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,15,10,1.98,1.95,1,4.24,2.06,1.31,3.31,7/24,15:00,Brown STSA,7/24/22 15:00
STSA,Green,GSS,15,10,1.94,1.97,1,4.13,1.97,1.29,3.27,7/24,15:00,Green STSA,7/24/22 15:00
SAPE,Brown,BSP,15,10,1.94,1.97,1,3.87,1.93,1.29,3.1,7/24,15:00,Brown SAPE,7/24/22 15:00
SAPE,Green,GSP,15,10,1.88,1.97,1,3.96,1.95,1.28,3.17,7/24,15:00,Green SAPE,7/24/22 15:00
STSA,Brown,BSS,1,0,2,2,2,3.93,2.02,1.24,3.2,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,1,0,1.96,1.99,2,3.95,1.98,1.23,3.26,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,1,0,1.97,1.99,2,3.86,1.88,1.23,3.18,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,1,0,1.89,2,2,3.78,1.88,1.24,3.16,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,2,5,1.98,1.96,2,4.48,2.23,1.23,3.34,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,2,5,1.95,2,2,4.04,2.08,1.22,3.26,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,2,5,1.91,1.97,2,4.08,2.03,1.21,3.16,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,2,5,1.96,1.95,2,3.91,1.99,1.24,3.08,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,3,10,2,1.95,2,4.38,2.15,1.19,3.35,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,3,10,1.98,1.93,2,4.38,2.13,1.23,3.31,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,3,10,1.95,1.94,2,4.02,2,1.21,3.13,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,3,10,1.94,1.95,2,4.2,2.02,1.25,3.3,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,4,5,2.01,1.94,2,4.14,2.04,1.21,3.27,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,4,5,1.97,1.94,2,4.23,2.11,1.22,3.28,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,4,5,1.95,1.96,2,4.06,1.97,1.21,3.27,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,4,5,1.94,2,2,4.04,1.99,1.2,3.17,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,5,0,2,1.94,2,4.21,2.07,1.2,3.28,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,5,0,1.91,1.94,2,4.04,2.09,1.22,3.15,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,5,0,1.94,1.93,2,3.96,1.95,1.22,3.17,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,5,0,1.95,1.95,2,4.08,2.02,1.21,3.27,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,6,10,1.98,1.99,2,5.41,2.92,1.2,3.43,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,6,10,1.95,1.95,2,4.69,2.26,1.2,3.57,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,6,10,1.95,2,2,4.09,2.04,1.18,3.17,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,6,10,1.89,2,2,4.09,2.01,1.21,3.23,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,7,0,1.96,2.01,2,4.11,2.06,1.22,3.26,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,7,0,1.95,1.98,2,4.07,2.07,1.21,3.2,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,7,0,1.92,1.94,2,3.96,1.96,1.19,3.17,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,7,0,1.89,1.96,2,2.94,1.96,1.19,2.2,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,8,5,1.99,2,2,4.34,2.1,1.18,3.36,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,8,5,1.98,1.91,2,4.23,2.06,1.19,3.34,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,8,5,1.96,1.98,2,4.06,2.01,1.2,3.19,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,8,5,1.88,1.93,2,4.01,1.97,1.16,3.14,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,9,10,1.95,1.96,2,4.68,2.42,1.2,3.34,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,9,10,1.98,1.96,2,4.14,2.08,1.2,3.21,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,9,10,1.99,1.94,2,3.96,2,1.2,3.05,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,9,10,1.95,1.96,2,4.13,2.02,1.19,3.18,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,10,10,1.99,1.97,2,4.75,2.55,1.32,3.39,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,10,10,1.94,1.95,2,4.18,2.05,1.29,3.32,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,10,10,1.95,1.95,2,4.01,1.97,1.27,3.1,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,10,10,1.97,1.97,2,3.99,1.99,1.27,3.15,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,11,0,1.97,2,2,4.2,2.13,1.31,3.33,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,11,0,1.96,2,2,4.16,2.05,1.3,3.35,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,11,0,1.98,1.98,2,4.43,1.99,1.31,3.68,7/24,19:00,Brown SAPE,7/24/22 19:00
SAPE,Green,GSP,11,0,1.96,1.96,2,3.99,1.97,1.31,3.24,7/24,19:00,Green SAPE,7/24/22 19:00
STSA,Brown,BSS,12,5,2,1.96,2,4.53,2.33,1.28,3.39,7/24,19:00,Brown STSA,7/24/22 19:00
STSA,Green,GSS,12,5,1.95,1.96,2,4.21,2.08,1.28,3.34,7/24,19:00,Green STSA,7/24/22 19:00
SAPE,Brown,BSP,12,5,1.93,1.98,2,4.19,2.02,1.27,3.32,7/24,19:00,Brown SAPE,7/24/22 19:00
